RESULT W readrandom   :      26.291 micros/op 268558 ops/sec 59.577 seconds 16000000 operations;   20.1 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      13.631 micros/op 439669 ops/sec 36.391 seconds 16000000 operations;   33.0 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      12.601 micros/op 471992 ops/sec 33.899 seconds 16000000 operations;   35.4 MB/s (2000000 of 2000000 found)
RESULT noshort-Bread readrandom   :      11.781 micros/op 504529 ops/sec 31.713 seconds 16000000 operations;   37.8 MB/s (2000000 of 2000000 found)
RESULT base-Aseek seekrandom   :     150.638 micros/op 52638 ops/sec 75.989 seconds 4000000 operations;   58.2 MB/s (408308 of 500000 found)
RESULT noshort-Aseek seekrandom   :      84.924 micros/op 93801 ops/sec 42.643 seconds 4000000 operations;  103.8 MB/s (408308 of 500000 found)
RESULT noshort-Bread readrandom   :      11.700 micros/op 505639 ops/sec 31.643 seconds 16000000 operations;   37.9 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      12.286 micros/op 484433 ops/sec 33.028 seconds 16000000 operations;   36.3 MB/s (2000000 of 2000000 found)
RESULT noshort-Aseek seekrandom   :      85.015 micros/op 93674 ops/sec 42.701 seconds 4000000 operations;  103.6 MB/s (408308 of 500000 found)
RESULT base-Aseek seekrandom   :      85.767 micros/op 92829 ops/sec 43.090 seconds 4000000 operations;  102.7 MB/s (408308 of 500000 found)
RESULT base-Bread readrandom   :      12.190 micros/op 486669 ops/sec 32.877 seconds 16000000 operations;   36.5 MB/s (2000000 of 2000000 found)
RESULT noshort-Bread readrandom   :      11.735 micros/op 510385 ops/sec 31.349 seconds 16000000 operations;   38.3 MB/s (2000000 of 2000000 found)
RESULT base-Aseek seekrandom   :      84.952 micros/op 93313 ops/sec 42.866 seconds 4000000 operations;  103.2 MB/s (408308 of 500000 found)
RESULT noshort-Aseek seekrandom   :      84.892 micros/op 93630 ops/sec 42.721 seconds 4000000 operations;  103.6 MB/s (408308 of 500000 found)
RESULT noshort-Bread readrandom   :      11.759 micros/op 507015 ops/sec 31.557 seconds 16000000 operations;   38.0 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      12.149 micros/op 491988 ops/sec 32.521 seconds 16000000 operations;   36.9 MB/s (2000000 of 2000000 found)
RESULT noshort-Aseek seekrandom   :      85.540 micros/op 92948 ops/sec 43.035 seconds 4000000 operations;  102.8 MB/s (408308 of 500000 found)
RESULT base-Aseek seekrandom   :      86.379 micros/op 92012 ops/sec 43.472 seconds 4000000 operations;  101.8 MB/s (408308 of 500000 found)
RESULT base-Bread readrandom   :      12.093 micros/op 488934 ops/sec 32.724 seconds 16000000 operations;   36.7 MB/s (2000000 of 2000000 found)
RESULT noshort-Bread readrandom   :      11.825 micros/op 505960 ops/sec 31.623 seconds 16000000 operations;   37.9 MB/s (2000000 of 2000000 found)
RESULT base-Aseek seekrandom   :      85.768 micros/op 92534 ops/sec 43.227 seconds 4000000 operations;  102.4 MB/s (408308 of 500000 found)
RESULT noshort-Aseek seekrandom   :      85.874 micros/op 92717 ops/sec 43.142 seconds 4000000 operations;  102.6 MB/s (408308 of 500000 found)
RESULT noshort-Bread readrandom   :      11.810 micros/op 497978 ops/sec 32.130 seconds 16000000 operations;   37.4 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      12.312 micros/op 477119 ops/sec 33.535 seconds 16000000 operations;   35.8 MB/s (2000000 of 2000000 found)
RESULT noshort-Aseek seekrandom   :      87.787 micros/op 90643 ops/sec 44.129 seconds 4000000 operations;  100.3 MB/s (408308 of 500000 found)
RESULT base-Aseek seekrandom   :      88.498 micros/op 88788 ops/sec 45.051 seconds 4000000 operations;   98.2 MB/s (408308 of 500000 found)
RESULT W fillrandom   :      12.431 micros/op 80446 ops/sec 248.612 seconds 20000000 operations;    8.9 MB/s
RESULT W fillrandom   :      13.024 micros/op 76779 ops/sec 260.485 seconds 20000000 operations;    8.5 MB/s
RESULT base-fill fillrandom   :      13.856 micros/op 72169 ops/sec 277.124 seconds 20000000 operations;    8.0 MB/s
RESULT noshort-fill fillrandom   :      14.733 micros/op 67873 ops/sec 294.667 seconds 20000000 operations;    7.5 MB/s
RESULT noshort-fill fillrandom   :      13.488 micros/op 74141 ops/sec 269.753 seconds 20000000 operations;    8.2 MB/s
RESULT base-fill fillrandom   :      15.191 micros/op 65829 ops/sec 303.814 seconds 20000000 operations;    7.3 MB/s
RESULT base-fill fillrandom   :      14.186 micros/op 70492 ops/sec 283.718 seconds 20000000 operations;    7.8 MB/s
RESULT noshort-fill fillrandom   :      13.971 micros/op 71578 ops/sec 279.415 seconds 20000000 operations;    7.9 MB/s
RESULT noshort-fill fillrandom   :      14.439 micros/op 69257 ops/sec 288.777 seconds 20000000 operations;    7.7 MB/s
RESULT base-fill fillrandom   :      14.170 micros/op 70570 ops/sec 283.404 seconds 20000000 operations;    7.8 MB/s
RESULT base-fill fillrandom   :      13.945 micros/op 71709 ops/sec 278.902 seconds 20000000 operations;    7.9 MB/s
RESULT noshort-fill fillrandom   :      14.034 micros/op 71256 ops/sec 280.675 seconds 20000000 operations;    7.9 MB/s
RESULT noshort-fill fillrandom   :      14.171 micros/op 70564 ops/sec 283.428 seconds 20000000 operations;    7.8 MB/s
RESULT base-fill fillrandom   :      14.669 micros/op 68171 ops/sec 293.377 seconds 20000000 operations;    7.5 MB/s
RESULT W readrandom   :      11.957 micros/op 500468 ops/sec 31.970 seconds 16000000 operations;   37.5 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      12.325 micros/op 484192 ops/sec 33.045 seconds 16000000 operations;   36.3 MB/s (2000000 of 2000000 found)
RESULT base-Bread readrandom   :      12.465 micros/op 478352 ops/sec 33.448 seconds 16000000 operations;   35.9 MB/s (2000000 of 2000000 found)
RESULT o3lto-Bread readrandom   :      11.895 micros/op 502774 ops/sec 31.823 seconds 16000000 operations;   37.7 MB/s (2000000 of 2000000 found)
RESULT base-Aseek seekrandom   :      87.593 micros/op 90319 ops/sec 44.287 seconds 4000000 operations;   99.9 MB/s (408308 of 500000 found)
