RESULT W readrandom   :      41.539 micros/op 169561 ops/sec 94.361 seconds 16000000 operations;   12.7 MB/s (2000000 of 2000000 found)
RESULT Wseek seekrandom   :     190.496 micros/op 41574 ops/sec 96.213 seconds 4000000 operations;   46.0 MB/s (408308 of 500000 found)
RESULT W readrandom   :      10.810 micros/op 552096 ops/sec 28.980 seconds 16000000 operations;   41.4 MB/s (2000000 of 2000000 found)
RESULT Wseek seekrandom   :      71.818 micros/op 109831 ops/sec 36.419 seconds 4000000 operations;  121.5 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      13.195 micros/op 435283 ops/sec 36.758 seconds 16000000 operations;   32.6 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      89.615 micros/op 88741 ops/sec 45.075 seconds 4000000 operations;   98.2 MB/s (408308 of 500000 found)
RESULT V2-Bread readrandom   :      10.463 micros/op 566754 ops/sec 28.231 seconds 16000000 operations;   42.5 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek seekrandom   :      72.507 micros/op 108153 ops/sec 36.984 seconds 4000000 operations;  119.6 MB/s (408308 of 500000 found)
RESULT V2-Bread readrandom   :      10.551 micros/op 557555 ops/sec 28.697 seconds 16000000 operations;   41.8 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek seekrandom   :      73.014 micros/op 107877 ops/sec 37.079 seconds 4000000 operations;  119.3 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      13.271 micros/op 442111 ops/sec 36.190 seconds 16000000 operations;   33.2 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      88.349 micros/op 89741 ops/sec 44.573 seconds 4000000 operations;   99.3 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      13.079 micros/op 451703 ops/sec 35.421 seconds 16000000 operations;   33.9 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      88.171 micros/op 89639 ops/sec 44.623 seconds 4000000 operations;   99.2 MB/s (408308 of 500000 found)
RESULT V2-Bread readrandom   :      10.564 micros/op 559921 ops/sec 28.575 seconds 16000000 operations;   42.0 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek seekrandom   :      73.586 micros/op 107934 ops/sec 37.059 seconds 4000000 operations;  119.4 MB/s (408308 of 500000 found)
RESULT V2-Bread readrandom   :      10.497 micros/op 566491 ops/sec 28.244 seconds 16000000 operations;   42.5 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek seekrandom   :      73.202 micros/op 107500 ops/sec 37.209 seconds 4000000 operations;  118.9 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      12.943 micros/op 452687 ops/sec 35.344 seconds 16000000 operations;   34.0 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      91.106 micros/op 87189 ops/sec 45.877 seconds 4000000 operations;   96.5 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      13.245 micros/op 448434 ops/sec 35.680 seconds 16000000 operations;   33.6 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      89.234 micros/op 88439 ops/sec 45.229 seconds 4000000 operations;   97.8 MB/s (408308 of 500000 found)
RESULT V2-Bread readrandom   :      10.514 micros/op 571997 ops/sec 27.972 seconds 16000000 operations;   42.9 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek seekrandom   :      73.541 micros/op 107590 ops/sec 37.178 seconds 4000000 operations;  119.0 MB/s (408308 of 500000 found)
RESULT V2-Bread readrandom   :      10.385 micros/op 566033 ops/sec 28.267 seconds 16000000 operations;   42.5 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek seekrandom   :      73.373 micros/op 108408 ops/sec 36.897 seconds 4000000 operations;  119.9 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      13.135 micros/op 449908 ops/sec 35.563 seconds 16000000 operations;   33.7 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      89.125 micros/op 89458 ops/sec 44.713 seconds 4000000 operations;   99.0 MB/s (408308 of 500000 found)
RESULT S0-fill fillrandom   :      13.549 micros/op 73807 ops/sec 270.976 seconds 20000000 operations;    8.2 MB/s
