RESULT W readrandom   :      51.475 micros/op 141528 ops/sec 113.052 seconds 16000000 operations;   10.6 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      13.196 micros/op 443263 ops/sec 36.096 seconds 16000000 operations;   33.2 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      11.372 micros/op 522082 ops/sec 30.646 seconds 16000000 operations;   39.2 MB/s (2000000 of 2000000 found)
RESULT S0-Bread readrandom   :      13.321 micros/op 440881 ops/sec 36.291 seconds 16000000 operations;   33.1 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :     150.770 micros/op 52634 ops/sec 75.996 seconds 4000000 operations;   58.2 MB/s (408308 of 500000 found)
RESULT SP-Bread readrandom   :      11.447 micros/op 511590 ops/sec 31.275 seconds 16000000 operations;   38.4 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek seekrandom   :      85.154 micros/op 92790 ops/sec 43.108 seconds 4000000 operations;  102.7 MB/s (408308 of 500000 found)
RESULT GP-Bread readrandom   :      11.984 micros/op 498332 ops/sec 32.107 seconds 16000000 operations;   37.4 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek seekrandom   :      93.999 micros/op 83768 ops/sec 47.751 seconds 4000000 operations;   92.7 MB/s (408308 of 500000 found)
RESULT SP-Bread readrandom   :      11.366 micros/op 520681 ops/sec 30.729 seconds 16000000 operations;   39.1 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek seekrandom   :      85.332 micros/op 92294 ops/sec 43.340 seconds 4000000 operations;  102.1 MB/s (408308 of 500000 found)
RESULT GP-Bread readrandom   :      12.034 micros/op 489683 ops/sec 32.674 seconds 16000000 operations;   36.7 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek seekrandom   :      93.839 micros/op 83568 ops/sec 47.865 seconds 4000000 operations;   92.4 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      13.229 micros/op 441749 ops/sec 36.220 seconds 16000000 operations;   33.1 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      98.113 micros/op 80297 ops/sec 49.815 seconds 4000000 operations;   88.8 MB/s (408308 of 500000 found)
RESULT GP-Bread readrandom   :      11.998 micros/op 495439 ops/sec 32.295 seconds 16000000 operations;   37.2 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek seekrandom   :      93.561 micros/op 83899 ops/sec 47.676 seconds 4000000 operations;   92.8 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      13.278 micros/op 442506 ops/sec 36.158 seconds 16000000 operations;   33.2 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      97.960 micros/op 81446 ops/sec 49.112 seconds 4000000 operations;   90.1 MB/s (408308 of 500000 found)
RESULT SP-Bread readrandom   :      11.483 micros/op 498610 ops/sec 32.089 seconds 16000000 operations;   37.4 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek seekrandom   :      86.470 micros/op 91498 ops/sec 43.716 seconds 4000000 operations;  101.2 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      13.036 micros/op 450643 ops/sec 35.505 seconds 16000000 operations;   33.8 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      98.567 micros/op 79544 ops/sec 50.286 seconds 4000000 operations;   88.0 MB/s (408308 of 500000 found)
RESULT SP-Bread readrandom   :      11.446 micros/op 507971 ops/sec 31.498 seconds 16000000 operations;   38.1 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek seekrandom   :      85.565 micros/op 92475 ops/sec 43.255 seconds 4000000 operations;  102.3 MB/s (408308 of 500000 found)
RESULT GP-Bread readrandom   :      12.025 micros/op 487848 ops/sec 32.797 seconds 16000000 operations;   36.6 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek seekrandom   :      93.990 micros/op 82962 ops/sec 48.214 seconds 4000000 operations;   91.8 MB/s (408308 of 500000 found)
RESULT SP-Bread readrandom   :      11.570 micros/op 507468 ops/sec 31.529 seconds 16000000 operations;   38.1 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek seekrandom   :      87.139 micros/op 90131 ops/sec 44.380 seconds 4000000 operations;   99.7 MB/s (408308 of 500000 found)
RESULT GP-Bread readrandom   :      12.203 micros/op 478016 ops/sec 33.472 seconds 16000000 operations;   35.9 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek seekrandom   :      94.719 micros/op 82423 ops/sec 48.530 seconds 4000000 operations;   91.2 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      13.300 micros/op 443270 ops/sec 36.095 seconds 16000000 operations;   33.2 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      98.598 micros/op 79683 ops/sec 50.199 seconds 4000000 operations;   88.2 MB/s (408308 of 500000 found)
RESULT GP-Bread readrandom   :      12.038 micros/op 489219 ops/sec 32.705 seconds 16000000 operations;   36.7 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek seekrandom   :      94.202 micros/op 83090 ops/sec 48.140 seconds 4000000 operations;   91.9 MB/s (408308 of 500000 found)
RESULT S0-Bread readrandom   :      13.187 micros/op 445516 ops/sec 35.913 seconds 16000000 operations;   33.4 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :      98.778 micros/op 78977 ops/sec 50.647 seconds 4000000 operations;   87.4 MB/s (408308 of 500000 found)
RESULT SP-Bread readrandom   :      11.427 micros/op 517131 ops/sec 30.940 seconds 16000000 operations;   38.8 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek seekrandom   :      85.410 micros/op 92178 ops/sec 43.394 seconds 4000000 operations;  102.0 MB/s (408308 of 500000 found)
RESULT S0-fill fillrandom   :      13.480 micros/op 74183 ops/sec 269.601 seconds 20000000 operations;    8.2 MB/s
RESULT SP-fill fillrandom   :      12.560 micros/op 79618 ops/sec 251.198 seconds 20000000 operations;    8.8 MB/s
RESULT GP-fill fillrandom   :      13.884 micros/op 72027 ops/sec 277.671 seconds 20000000 operations;    8.0 MB/s
RESULT SP-fill fillrandom   :      13.099 micros/op 76341 ops/sec 261.981 seconds 20000000 operations;    8.4 MB/s
RESULT GP-fill fillrandom   :      13.742 micros/op 72767 ops/sec 274.849 seconds 20000000 operations;    8.0 MB/s
RESULT S0-fill fillrandom   :      15.504 micros/op 64500 ops/sec 310.073 seconds 20000000 operations;    7.1 MB/s
RESULT GP-fill fillrandom   :      13.897 micros/op 71959 ops/sec 277.935 seconds 20000000 operations;    8.0 MB/s
RESULT S0-fill fillrandom   :      14.462 micros/op 69146 ops/sec 289.242 seconds 20000000 operations;    7.6 MB/s
RESULT SP-fill fillrandom   :      13.171 micros/op 75923 ops/sec 263.421 seconds 20000000 operations;    8.4 MB/s
RESULT S0-fill fillrandom   :      14.033 micros/op 71259 ops/sec 280.666 seconds 20000000 operations;    7.9 MB/s
RESULT SP-fill fillrandom   :      12.346 micros/op 80997 ops/sec 246.923 seconds 20000000 operations;    9.0 MB/s
RESULT GP-fill fillrandom   :      14.461 micros/op 69151 ops/sec 289.219 seconds 20000000 operations;    7.6 MB/s
RESULT S0-Bread-t1 readrandom   :      16.134 micros/op 61982 ops/sec 32.267 seconds 2000000 operations;    6.9 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      86.972 micros/op 11497 ops/sec 43.486 seconds 500000 operations;   12.7 MB/s (408308 of 500000 found)
RESULT SP-Bread-t1 readrandom   :      13.506 micros/op 74042 ops/sec 27.012 seconds 2000000 operations;    8.2 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek-t1 seekrandom   :      75.049 micros/op 13324 ops/sec 37.525 seconds 500000 operations;   14.7 MB/s (408308 of 500000 found)
RESULT GP-Bread-t1 readrandom   :      13.933 micros/op 71769 ops/sec 27.867 seconds 2000000 operations;    7.9 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek-t1 seekrandom   :      81.510 micros/op 12268 ops/sec 40.755 seconds 500000 operations;   13.6 MB/s (408308 of 500000 found)
RESULT S0-Bread-t1 readrandom   :      16.032 micros/op 62374 ops/sec 32.064 seconds 2000000 operations;    6.9 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      86.148 micros/op 11607 ops/sec 43.074 seconds 500000 operations;   12.8 MB/s (408308 of 500000 found)
RESULT SP-Bread-t1 readrandom   :      13.386 micros/op 74707 ops/sec 26.771 seconds 2000000 operations;    8.3 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek-t1 seekrandom   :      75.533 micros/op 13239 ops/sec 37.767 seconds 500000 operations;   14.6 MB/s (408308 of 500000 found)
RESULT GP-Bread-t1 readrandom   :      14.353 micros/op 69673 ops/sec 28.705 seconds 2000000 operations;    7.7 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek-t1 seekrandom   :      83.618 micros/op 11959 ops/sec 41.809 seconds 500000 operations;   13.2 MB/s (408308 of 500000 found)
RESULT S0-Bread-t1 readrandom   :      16.442 micros/op 60819 ops/sec 32.884 seconds 2000000 operations;    6.7 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek-t1 seekrandom   :      86.627 micros/op 11543 ops/sec 43.313 seconds 500000 operations;   12.8 MB/s (408308 of 500000 found)
