RESULT W readrandom   :      39.990 micros/op 176674 ops/sec 90.562 seconds 16000000 operations;   13.3 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      11.700 micros/op 501534 ops/sec 31.902 seconds 16000000 operations;   37.6 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      11.522 micros/op 506012 ops/sec 31.620 seconds 16000000 operations;   38.0 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      11.541 micros/op 517368 ops/sec 30.926 seconds 16000000 operations;   38.8 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      12.144 micros/op 488692 ops/sec 32.740 seconds 16000000 operations;   36.7 MB/s (2000000 of 2000000 found)
RESULT S0-Bread readrandom   :      13.315 micros/op 445501 ops/sec 35.915 seconds 16000000 operations;   33.4 MB/s (2000000 of 2000000 found)
RESULT S0-Aseek seekrandom   :     157.582 micros/op 49901 ops/sec 80.158 seconds 4000000 operations;   55.2 MB/s (408308 of 500000 found)
RESULT SP-Bread readrandom   :      11.755 micros/op 504094 ops/sec 31.740 seconds 16000000 operations;   37.8 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek seekrandom   :      76.715 micros/op 102478 ops/sec 39.032 seconds 4000000 operations;  113.4 MB/s (408308 of 500000 found)
RESULT V1-Bread readrandom   :      11.554 micros/op 509597 ops/sec 31.397 seconds 16000000 operations;   38.2 MB/s (2000000 of 2000000 found)
RESULT V1-Aseek seekrandom   :      79.314 micros/op 100180 ops/sec 39.928 seconds 4000000 operations;  110.8 MB/s (408308 of 500000 found)
RESULT V3-Bread readrandom   :      11.616 micros/op 507093 ops/sec 31.552 seconds 16000000 operations;   38.0 MB/s (2000000 of 2000000 found)
RESULT V3-Aseek seekrandom   :      78.130 micros/op 101643 ops/sec 39.353 seconds 4000000 operations;  112.4 MB/s (408308 of 500000 found)
RESULT GP-Bread readrandom   :      12.168 micros/op 486072 ops/sec 32.917 seconds 16000000 operations;   36.5 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek seekrandom   :      86.225 micros/op 91451 ops/sec 43.739 seconds 4000000 operations;  101.2 MB/s (408308 of 500000 found)
RESULT SP-Bread readrandom   :      11.616 micros/op 509436 ops/sec 31.407 seconds 16000000 operations;   38.2 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek seekrandom   :      78.032 micros/op 101886 ops/sec 39.259 seconds 4000000 operations;  112.7 MB/s (408308 of 500000 found)
