RESULT W readrandom   :      56.299 micros/op 131597 ops/sec 121.583 seconds 16000000 operations;    9.9 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      10.493 micros/op 562423 ops/sec 28.448 seconds 16000000 operations;   42.2 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      10.844 micros/op 547176 ops/sec 29.241 seconds 16000000 operations;   41.0 MB/s (2000000 of 2000000 found)
RESULT W readrandom   :      11.894 micros/op 488034 ops/sec 32.785 seconds 16000000 operations;   36.6 MB/s (2000000 of 2000000 found)
RESULT SP-Bread readrandom   :      11.272 micros/op 523170 ops/sec 30.583 seconds 16000000 operations;   39.2 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek seekrandom   :     142.329 micros/op 54793 ops/sec 73.002 seconds 4000000 operations;   60.6 MB/s (408308 of 500000 found)
RESULT V2-Bread readrandom   :      10.532 micros/op 563971 ops/sec 28.370 seconds 16000000 operations;   42.3 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek seekrandom   :      73.680 micros/op 107269 ops/sec 37.289 seconds 4000000 operations;  118.7 MB/s (408308 of 500000 found)
RESULT V5-Bread readrandom   :      10.887 micros/op 547288 ops/sec 29.235 seconds 16000000 operations;   41.0 MB/s (2000000 of 2000000 found)
RESULT V5-Aseek seekrandom   :      76.982 micros/op 102150 ops/sec 39.158 seconds 4000000 operations;  113.0 MB/s (408308 of 500000 found)
RESULT GP-Bread readrandom   :      11.880 micros/op 492381 ops/sec 32.495 seconds 16000000 operations;   36.9 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek seekrandom   :      85.713 micros/op 92437 ops/sec 43.272 seconds 4000000 operations;  102.3 MB/s (408308 of 500000 found)
RESULT V2-Bread readrandom   :      10.523 micros/op 565440 ops/sec 28.296 seconds 16000000 operations;   42.4 MB/s (2000000 of 2000000 found)
RESULT V2-Aseek seekrandom   :      73.644 micros/op 107283 ops/sec 37.284 seconds 4000000 operations;  118.7 MB/s (408308 of 500000 found)
RESULT V5-Bread readrandom   :      10.882 micros/op 538000 ops/sec 29.740 seconds 16000000 operations;   40.4 MB/s (2000000 of 2000000 found)
RESULT V5-Aseek seekrandom   :      75.188 micros/op 105267 ops/sec 37.999 seconds 4000000 operations;  116.5 MB/s (408308 of 500000 found)
RESULT GP-Bread readrandom   :      11.946 micros/op 498947 ops/sec 32.068 seconds 16000000 operations;   37.4 MB/s (2000000 of 2000000 found)
RESULT GP-Aseek seekrandom   :      87.444 micros/op 91117 ops/sec 43.899 seconds 4000000 operations;  100.8 MB/s (408308 of 500000 found)
RESULT SP-Bread readrandom   :      11.322 micros/op 516389 ops/sec 30.984 seconds 16000000 operations;   38.7 MB/s (2000000 of 2000000 found)
RESULT SP-Aseek seekrandom   :      78.092 micros/op 101930 ops/sec 39.243 seconds 4000000 operations;  112.8 MB/s (408308 of 500000 found)
