# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 172K of event 'cycles:P'
# Event count (approx.): 825463650699
#
# Overhead  Command       Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ............  ...................  ............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    13.86%  db_bench      db_bench             [.] void rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::FindSpliceForLevel<true>(rocksdb::Slice const&, rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::Node*, rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::Node*, int, rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::Node**, rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::Node**) const
     4.32%  db_bench      libc.so.6            [.] memcmp
     3.24%  db_bench      db_bench             [.] rocksdb::MemTable::KeyComparator::operator()(char const*, rocksdb::Slice const&) const
     2.18%  db_bench      db_bench             [.] bool rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::Insert<false>(char const*, rocksdb::InlineSkipList<rocksdb::MemTableRep::KeyComparator const&>::Splice*, bool)
     1.83%  rocksdb:low   libc.so.6            [.] memcmp
     1.81%  db_bench      db_bench             [.] non-virtual thunk to rocksdb::(anonymous namespace)::BytewiseComparatorImpl::Compare(rocksdb::Slice const&, rocksdb::Slice const&) const
     1.80%  db_bench      db_bench             [.] rocksdb::DBImpl::PipelinedWriteImpl(rocksdb::WriteOptions const&, rocksdb::WriteBatch*, rocksdb::WriteCallback*, rocksdb::UserWriteCallback*, unsigned long*, unsigned long, bool, unsigned long*)
     1.58%  rocksdb:low   db_bench             [.] rocksdb::CompactionIterator::NextFromInput()
     1.36%  rocksdb:low   db_bench             [.] XXH3_hashLong_64b_default.constprop.0
     1.33%  db_bench      db_bench             [.] unsigned int rocksdb::crc32c::ExtendImpl<&rocksdb::crc32c::DefaultCRC32>(unsigned int, char const*, unsigned long)
     1.25%  db_bench      db_bench             [.] rocksdb::Benchmark::DoWrite(rocksdb::ThreadState*, rocksdb::Benchmark::WriteMode)
     1.20%  db_bench      db_bench             [.] memcmp@plt
     1.19%  db_bench      db_bench             [.] rocksdb::WritableFileWriter::Append(rocksdb::IOOptions const&, rocksdb::Slice const&, unsigned int)
     1.09%  rocksdb:low   db_bench             [.] rocksdb::BinaryHeap<rocksdb::CompactionMergingIterator::HeapItem*, rocksdb::CompactionMergingIterator::CompactionHeapItemComparator>::downheap(unsigned long)
     1.08%  db_bench      [kernel.kallsyms]    [k] do_trap_ecall_u
     1.08%  rocksdb:high  db_bench             [.] rocksdb::MemTableIterator::key() const
     1.00%  db_bench      [kernel.kallsyms]    [k] balance_dirty_pages_ratelimited_flags
     0.94%  db_bench      [kernel.kallsyms]    [k] vfs_write
     0.89%  rocksdb:low   db_bench             [.] memcpy@plt
     0.75%  rocksdb:low   libc.so.6            [.] 0x000000000008de98
     0.75%  rocksdb:low   db_bench             [.] rocksdb::BlockBuilder::AddWithLastKeyImpl(rocksdb::Slice const&, rocksdb::Slice const&, rocksdb::Slice const&, rocksdb::Slice const*, bool, unsigned long)
     0.69%  db_bench      db_bench             [.] rocksdb::WriteThread::ExitAsBatchGroupLeader(rocksdb::WriteThread::WriteGroup&, rocksdb::Status&)
     0.65%  rocksdb:low   db_bench             [.] rocksdb::BlockBasedTableBuilder::Add(rocksdb::Slice const&, rocksdb::Slice const&)
     0.65%  db_bench      db_bench             [.] rocksdb::MemTable::Add(unsigned long, rocksdb::ValueType, rocksdb::Slice const&, rocksdb::Slice const&, rocksdb::ProtectionInfoKVOS<unsigned long> const*, bool, rocksdb::MemTablePostProcessInfo*, void**)
     0.62%  db_bench      db_bench             [.] rocksdb::WritableFileWriter::WriteBuffered(rocksdb::IOOptions const&, char const*, unsigned long)
     0.61%  rocksdb:low   db_bench             [.] bool rocksdb::BlockIter<rocksdb::Slice>::ParseNextKey<rocksdb::DecodeEntry, false>(bool*)
     0.55%  db_bench      db_bench             [.] rocksdb::DBImpl::PreprocessWrite(rocksdb::WriteOptions const&, rocksdb::DBImpl::WalContext*, rocksdb::DBImpl::WriteContext*)
     0.52%  rocksdb:low   db_bench             [.] memcmp@plt
     0.52%  db_bench      db_bench             [.] char* rocksdb::ConcurrentArena::AllocateImpl<rocksdb::ConcurrentArena::AllocateAligned(unsigned long, unsigned long, rocksdb::Logger*)::{lambda()#1}>(unsigned long, bool, rocksdb::ConcurrentArena::AllocateAligned(unsigned long, unsigned long, rocksdb::Logger*)::{lambda()#1} const&)
     0.52%  db_bench      db_bench             [.] rocksdb::WritableFileWriter::Flush(rocksdb::IOOptions const&)
     0.51%  db_bench      [kernel.kallsyms]    [k] mark_buffer_dirty
     0.51%  rocksdb:low   db_bench             [.] rocksdb::CompactionOutputs::AddToOutput(rocksdb::CompactionIterator const&, std::function<rocksdb::Status (rocksdb::CompactionOutputs&)> const&, std::function<rocksdb::Status (rocksdb::Status const&, rocksdb::ParsedInternalKey const&, rocksdb::Slice const&, rocksdb::CompactionIterator const*, rocksdb::CompactionOutputs&)> const&, rocksdb::ParsedInternalKey const&)
     0.51%  db_bench      db_bench             [.] rocksdb::WriteThread::SetState(rocksdb::WriteThread::Writer*, unsigned char)
     0.50%  db_bench      libc.so.6            [.] 0x000000000007ef94
     0.50%  rocksdb:low   db_bench             [.] rocksdb::OutputValidator::Add(rocksdb::Slice const&, rocksdb::Slice const&)
     0.50%  rocksdb:low   [kernel.kallsyms]    [k] __asm_vector_usercopy_sum_enabled
     0.50%  db_bench      db_bench             [.] rocksdb::log::Writer::AddRecord(rocksdb::WriteOptions const&, rocksdb::Slice const&, unsigned long const&)
     0.49%  db_bench      [kernel.kallsyms]    [k] memset
     0.48%  rocksdb:low   db_bench             [.] rocksdb::BlockIter<rocksdb::Slice>::UpdateKey()
     0.45%  rocksdb:low   db_bench             [.] rocksdb::CompactionJob::ProcessKeyValue(rocksdb::SubcompactionState*, rocksdb::ColumnFamilyData*, rocksdb::CompactionIterator*, std::function<rocksdb::Status (rocksdb::CompactionOutputs&)> const&, std::function<rocksdb::Status (rocksdb::Status const&, rocksdb::ParsedInternalKey const&, rocksdb::Slice const&, rocksdb::CompactionIterator const*, rocksdb::CompactionOutputs&)> const&, unsigned long&)
     0.45%  rocksdb:low   db_bench             [.] rocksdb::BlockBuilder::EstimateSizeAfterKV(rocksdb::Slice const&, rocksdb::Slice const&) const
     0.45%  db_bench      db_bench             [.] rocksdb::crc32c::Crc32cCombine(unsigned int, unsigned int, unsigned long)
     0.45%  rocksdb:low   db_bench             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace(unsigned long, unsigned long, char const*, unsigned long)
     0.42%  db_bench      libc.so.6            [.] 0x000000000008df6c
     0.42%  rocksdb:high  db_bench             [.] rocksdb::CompactionIterator::NextFromInput()
