# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 198K of event 'cycles:P'
# Event count (approx.): 949828656483
#
# Overhead  Command       Shared Object        Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ............  ...................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    12.51%  db_bench      db_bench             [.] bool rocksdb::BlockIter<rocksdb::IndexValue>::GetRestartKey<rocksdb::DecodeKeyV4>(unsigned int, rocksdb::Slice*)
     6.67%  db_bench      libc.so.6            [.] memcmp
     3.79%  db_bench      db_bench             [.] bool rocksdb::BlockIter<rocksdb::Slice>::ParseNextKey<rocksdb::DecodeEntry, false>(bool*)
     3.71%  db_bench      db_bench             [.] XXH3_hashLong_64b_default.constprop.0
     3.52%  db_bench      db_bench             [.] rocksdb::(anonymous namespace)::FastLocalBloomBitsReader::MayMatch(rocksdb::Slice const&)
     2.64%  db_bench      db_bench             [.] bool rocksdb::BlockIter<rocksdb::Slice>::BinarySeekRestartPointIndex<rocksdb::DecodeKey>(rocksdb::Slice const&, unsigned int*, bool*)
     2.59%  db_bench      db_bench             [.] rocksdb::clock_cache::AutoHyperClockTable::Evict(unsigned long, rocksdb::clock_cache::AutoHyperClockTable::InsertState&, rocksdb::clock_cache::BaseClockTable::EvictionData*)
     2.55%  db_bench      db_bench             [.] rocksdb::clock_cache::AutoHyperClockTable::Lookup(std::array<unsigned long, 2ul> const&)
     2.49%  db_bench      [kernel.kallsyms]    [k] __asm_vector_usercopy_sum_enabled
     2.43%  db_bench      db_bench             [.] rocksdb::BlockBasedTable::Get(rocksdb::ReadOptions const&, rocksdb::Slice const&, rocksdb::GetContext*, rocksdb::SliceTransform const*, bool)
     2.04%  db_bench      db_bench             [.] rocksdb::TableCache::Get(rocksdb::ReadOptions const&, rocksdb::InternalKeyComparator const&, rocksdb::FileMetaData const&, rocksdb::Slice const&, rocksdb::GetContext*, rocksdb::MutableCFOptions const&, rocksdb::HistogramImpl*, bool, int, unsigned long)
     1.48%  db_bench      db_bench             [.] memcmp@plt
