topic: BenchmarkTest, threadCount: 8, messageSize: 1024, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 00:47:19,434 | Send TPS: 981 | Max RT(ms): 810 | Average RT(ms):   8.211 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:47:29,437 | Send TPS: 1372 | Max RT(ms): 810 | Average RT(ms):   5.826 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:47:39,435 | Send TPS: 4132 | Max RT(ms): 810 | Average RT(ms):   1.925 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:47:49,434 | Send TPS: 4564 | Max RT(ms): 810 | Average RT(ms):   1.751 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:47:59,434 | Send TPS: 4616 | Max RT(ms): 810 | Average RT(ms):   1.730 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:48:09,434 | Send TPS: 4928 | Max RT(ms): 810 | Average RT(ms):   1.621 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:48:19,434 | Send TPS: 4845 | Max RT(ms): 810 | Average RT(ms):   1.649 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:48:29,434 | Send TPS: 4854 | Max RT(ms): 810 | Average RT(ms):   1.646 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:48:39,434 | Send TPS: 4929 | Max RT(ms): 810 | Average RT(ms):   1.621 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:48:49,434 | Send TPS: 4865 | Max RT(ms): 810 | Average RT(ms):   1.643 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:48:59,434 | Send TPS: 4912 | Max RT(ms): 810 | Average RT(ms):   1.627 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:49:09,434 | Send TPS: 4884 | Max RT(ms): 810 | Average RT(ms):   1.637 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:49:19,434 | Send TPS: 4900 | Max RT(ms): 810 | Average RT(ms):   1.631 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:49:29,434 | Send TPS: 4928 | Max RT(ms): 810 | Average RT(ms):   1.622 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:49:39,434 | Send TPS: 4933 | Max RT(ms): 810 | Average RT(ms):   1.620 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:49:49,434 | Send TPS: 4897 | Max RT(ms): 810 | Average RT(ms):   1.632 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:49:59,434 | Send TPS: 4923 | Max RT(ms): 810 | Average RT(ms):   1.623 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:50:09,434 | Send TPS: 4971 | Max RT(ms): 810 | Average RT(ms):   1.607 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:50:19,434 | Send TPS: 4938 | Max RT(ms): 810 | Average RT(ms):   1.618 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:50:29,434 | Send TPS: 4777 | Max RT(ms): 810 | Average RT(ms):   1.673 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:50:39,434 | Send TPS: 4934 | Max RT(ms): 810 | Average RT(ms):   1.620 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:50:49,434 | Send TPS: 4922 | Max RT(ms): 810 | Average RT(ms):   1.624 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:50:59,434 | Send TPS: 4959 | Max RT(ms): 810 | Average RT(ms):   1.612 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:51:09,434 | Send TPS: 4944 | Max RT(ms): 810 | Average RT(ms):   1.619 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:51:19,434 | Send TPS: 4895 | Max RT(ms): 810 | Average RT(ms):   1.632 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:51:29,434 | Send TPS: 4882 | Max RT(ms): 810 | Average RT(ms):   1.637 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:51:39,434 | Send TPS: 4940 | Max RT(ms): 810 | Average RT(ms):   1.618 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:51:49,434 | Send TPS: 4845 | Max RT(ms): 810 | Average RT(ms):   1.650 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:51:59,434 | Send TPS: 4938 | Max RT(ms): 810 | Average RT(ms):   1.618 | Send Failed: 0 | Response Failed: 0
