topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 04:11:25,658 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 04:11:35,735 | Consume TPS: 132 | AVG(B2C) RT(ms): 231213.028 | AVG(S2C) RT(ms): 231204.864 | MAX(B2C) RT(ms): 234048 | MAX(S2C) RT(ms): 233948 | Consume Fail: 0
Current Time: 2026-08-29 04:11:45,657 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 04:11:55,669 | Consume TPS: 98 | AVG(B2C) RT(ms): 253211.992 | AVG(S2C) RT(ms): 253206.256 | MAX(B2C) RT(ms): 257085 | MAX(S2C) RT(ms): 257078 | Consume Fail: 0
Current Time: 2026-08-29 04:12:05,658 | Consume TPS: 432 | AVG(B2C) RT(ms): 251824.339 | AVG(S2C) RT(ms): 251819.475 | MAX(B2C) RT(ms): 261309 | MAX(S2C) RT(ms): 261307 | Consume Fail: 0
Current Time: 2026-08-29 04:12:15,658 | Consume TPS: 1729 | AVG(B2C) RT(ms): 252002.942 | AVG(S2C) RT(ms): 251998.572 | MAX(B2C) RT(ms): 264037 | MAX(S2C) RT(ms): 264033 | Consume Fail: 0
Current Time: 2026-08-29 04:12:26,106 | Consume TPS: 1465 | AVG(B2C) RT(ms): 211619.872 | AVG(S2C) RT(ms): 211616.291 | MAX(B2C) RT(ms): 243976 | MAX(S2C) RT(ms): 243974 | Consume Fail: 0
Current Time: 2026-08-29 04:12:35,842 | Consume TPS: 1138 | AVG(B2C) RT(ms): 202998.229 | AVG(S2C) RT(ms): 202995.699 | MAX(B2C) RT(ms): 209417 | MAX(S2C) RT(ms): 209414 | Consume Fail: 0
Current Time: 2026-08-29 04:12:45,659 | Consume TPS: 2062 | AVG(B2C) RT(ms): 191192.667 | AVG(S2C) RT(ms): 191190.225 | MAX(B2C) RT(ms): 204175 | MAX(S2C) RT(ms): 204174 | Consume Fail: 0
Current Time: 2026-08-29 04:12:55,658 | Consume TPS: 1073 | AVG(B2C) RT(ms): 176229.292 | AVG(S2C) RT(ms): 176226.844 | MAX(B2C) RT(ms): 185840 | MAX(S2C) RT(ms): 185838 | Consume Fail: 0
Current Time: 2026-08-29 04:13:05,657 | Consume TPS: 1061 | AVG(B2C) RT(ms): 177763.858 | AVG(S2C) RT(ms): 177761.500 | MAX(B2C) RT(ms): 239043 | MAX(S2C) RT(ms): 239042 | Consume Fail: 0
