topic: BenchmarkTest, threadCount: 8, messageSize: 131072, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 04:08:56,496 | Send TPS: 989 | Max RT(ms): 618 | Average RT(ms):   8.211 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:09:06,497 | Send TPS: 1785 | Max RT(ms): 618 | Average RT(ms):   4.471 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:09:16,497 | Send TPS: 2064 | Max RT(ms): 618 | Average RT(ms):   3.870 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:09:26,496 | Send TPS: 2003 | Max RT(ms): 618 | Average RT(ms):   3.986 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:09:36,498 | Send TPS: 2056 | Max RT(ms): 618 | Average RT(ms):   3.877 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:09:46,497 | Send TPS: 2003 | Max RT(ms): 618 | Average RT(ms):   3.982 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:09:56,497 | Send TPS: 1622 | Max RT(ms): 618 | Average RT(ms):   4.876 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:10:06,496 | Send TPS: 2147 | Max RT(ms): 618 | Average RT(ms):   3.718 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:10:16,496 | Send TPS: 2060 | Max RT(ms): 618 | Average RT(ms):   3.876 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:10:26,496 | Send TPS: 1251 | Max RT(ms): 1450 | Average RT(ms):   5.833 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:10:36,496 | Send TPS: 2041 | Max RT(ms): 1450 | Average RT(ms):   3.907 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:10:46,496 | Send TPS: 1988 | Max RT(ms): 1450 | Average RT(ms):   4.005 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:10:56,496 | Send TPS: 2070 | Max RT(ms): 1450 | Average RT(ms):   3.852 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:11:06,497 | Send TPS: 1947 | Max RT(ms): 1450 | Average RT(ms):   4.097 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:11:16,496 | Send TPS: 1926 | Max RT(ms): 1450 | Average RT(ms):   4.136 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:11:26,498 | Send TPS: 1624 | Max RT(ms): 1450 | Average RT(ms):   4.911 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:11:36,496 | Send TPS: 1184 | Max RT(ms): 1450 | Average RT(ms):   6.741 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:11:46,496 | Send TPS: 2031 | Max RT(ms): 1450 | Average RT(ms):   3.929 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:11:56,496 | Send TPS: 1131 | Max RT(ms): 1450 | Average RT(ms):   7.028 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:12:06,496 | Send TPS: 422 | Max RT(ms): 1450 | Average RT(ms):  18.844 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:12:16,496 | Send TPS: 655 | Max RT(ms): 1450 | Average RT(ms):  12.185 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:12:26,496 | Send TPS: 464 | Max RT(ms): 1450 | Average RT(ms):  16.910 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:12:36,496 | Send TPS: 499 | Max RT(ms): 1450 | Average RT(ms):  14.389 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:12:46,496 | Send TPS: 214 | Max RT(ms): 2675 | Average RT(ms):  45.048 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:12:56,496 | Send TPS: 3 | Max RT(ms): 2675 | Average RT(ms): 117.097 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 04:13:06,496 | Send TPS: 286 | Max RT(ms): 2675 | Average RT(ms):  27.966 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 04:13:16,496 | Send TPS: 532 | Max RT(ms): 2675 | Average RT(ms):  15.559 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 04:13:26,496 | Send TPS: 526 | Max RT(ms): 2675 | Average RT(ms):  14.949 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 04:13:36,496 | Send TPS: 593 | Max RT(ms): 2675 | Average RT(ms):  13.453 | Send Failed: 8 | Response Failed: 0
