topic: BenchmarkTest, threadCount: 4, messageSize: 131072, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 04:39:26,115 | Send TPS: 834 | Max RT(ms): 563 | Average RT(ms):   4.848 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:39:36,116 | Send TPS: 1457 | Max RT(ms): 563 | Average RT(ms):   2.738 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:39:46,117 | Send TPS: 1600 | Max RT(ms): 563 | Average RT(ms):   2.492 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:39:56,117 | Send TPS: 1710 | Max RT(ms): 563 | Average RT(ms):   2.332 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:40:06,115 | Send TPS: 1616 | Max RT(ms): 563 | Average RT(ms):   2.465 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:40:16,116 | Send TPS: 1693 | Max RT(ms): 563 | Average RT(ms):   2.352 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:40:26,116 | Send TPS: 1667 | Max RT(ms): 563 | Average RT(ms):   2.392 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:40:36,116 | Send TPS: 1739 | Max RT(ms): 563 | Average RT(ms):   2.292 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:40:46,115 | Send TPS: 1667 | Max RT(ms): 563 | Average RT(ms):   2.391 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:40:56,116 | Send TPS: 1654 | Max RT(ms): 563 | Average RT(ms):   2.409 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:41:06,116 | Send TPS: 1751 | Max RT(ms): 563 | Average RT(ms):   2.274 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:41:16,115 | Send TPS: 1629 | Max RT(ms): 563 | Average RT(ms):   2.444 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:41:26,116 | Send TPS: 1727 | Max RT(ms): 563 | Average RT(ms):   2.308 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:41:36,115 | Send TPS: 1215 | Max RT(ms): 671 | Average RT(ms):   3.173 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:41:46,116 | Send TPS: 1404 | Max RT(ms): 671 | Average RT(ms):   2.831 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:41:56,116 | Send TPS: 1141 | Max RT(ms): 671 | Average RT(ms):   3.487 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:42:06,117 | Send TPS: 376 | Max RT(ms): 671 | Average RT(ms):  10.588 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:42:16,115 | Send TPS: 400 | Max RT(ms): 982 | Average RT(ms):  10.008 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:42:26,116 | Send TPS: 403 | Max RT(ms): 982 | Average RT(ms):   9.895 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:42:36,117 | Send TPS: 534 | Max RT(ms): 982 | Average RT(ms):   7.454 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:42:46,116 | Send TPS: 412 | Max RT(ms): 982 | Average RT(ms):   9.689 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:42:56,115 | Send TPS: 286 | Max RT(ms): 3340 | Average RT(ms):  13.760 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:43:06,115 | Send TPS: 429 | Max RT(ms): 3340 | Average RT(ms):   9.292 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:43:16,115 | Send TPS: 405 | Max RT(ms): 3340 | Average RT(ms):   9.833 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:43:26,115 | Send TPS: 437 | Max RT(ms): 3340 | Average RT(ms):   9.105 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:43:36,115 | Send TPS: 439 | Max RT(ms): 3340 | Average RT(ms):   9.073 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:43:46,116 | Send TPS: 462 | Max RT(ms): 3340 | Average RT(ms):   8.641 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:43:56,121 | Send TPS: 413 | Max RT(ms): 3340 | Average RT(ms):   9.645 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:44:06,122 | Send TPS: 424 | Max RT(ms): 3340 | Average RT(ms):   9.404 | Send Failed: 0 | Response Failed: 0
