topic: BenchmarkTest, threadCount: 8, messageSize: 131072, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 03:34:15,118 | Send TPS: 321 | Max RT(ms): 808 | Average RT(ms):  25.092 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:34:25,118 | Send TPS: 1188 | Max RT(ms): 808 | Average RT(ms):   6.721 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:34:35,120 | Send TPS: 700 | Max RT(ms): 808 | Average RT(ms):  11.410 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:34:45,117 | Send TPS: 1032 | Max RT(ms): 808 | Average RT(ms):   7.287 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:34:55,117 | Send TPS: 1273 | Max RT(ms): 947 | Average RT(ms):   6.657 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:35:05,118 | Send TPS: 1432 | Max RT(ms): 947 | Average RT(ms):   5.575 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:35:15,120 | Send TPS: 1406 | Max RT(ms): 947 | Average RT(ms):   5.675 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:35:25,117 | Send TPS: 1183 | Max RT(ms): 947 | Average RT(ms):   6.754 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:35:35,117 | Send TPS: 1068 | Max RT(ms): 947 | Average RT(ms):   7.467 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:35:45,117 | Send TPS: 1309 | Max RT(ms): 947 | Average RT(ms):   5.795 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:35:55,118 | Send TPS: 1364 | Max RT(ms): 947 | Average RT(ms):   5.840 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:36:05,117 | Send TPS: 1362 | Max RT(ms): 947 | Average RT(ms):   5.852 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:36:15,118 | Send TPS: 1391 | Max RT(ms): 947 | Average RT(ms):   5.731 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:36:25,118 | Send TPS: 1364 | Max RT(ms): 947 | Average RT(ms):   5.847 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:36:35,117 | Send TPS: 1389 | Max RT(ms): 947 | Average RT(ms):   5.741 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:36:45,117 | Send TPS: 1295 | Max RT(ms): 947 | Average RT(ms):   6.163 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:36:55,117 | Send TPS: 1306 | Max RT(ms): 947 | Average RT(ms):   6.101 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:37:05,117 | Send TPS: 1213 | Max RT(ms): 947 | Average RT(ms):   6.527 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:37:15,118 | Send TPS: 1386 | Max RT(ms): 947 | Average RT(ms):   5.755 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:37:25,117 | Send TPS: 1106 | Max RT(ms): 947 | Average RT(ms):   7.191 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:37:35,118 | Send TPS: 1430 | Max RT(ms): 947 | Average RT(ms):   5.574 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:37:45,117 | Send TPS: 1245 | Max RT(ms): 947 | Average RT(ms):   6.405 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:37:55,117 | Send TPS: 1392 | Max RT(ms): 947 | Average RT(ms):   5.733 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:38:05,117 | Send TPS: 1319 | Max RT(ms): 947 | Average RT(ms):   6.014 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:38:15,118 | Send TPS: 1430 | Max RT(ms): 947 | Average RT(ms):   5.644 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:38:25,118 | Send TPS: 1361 | Max RT(ms): 947 | Average RT(ms):   5.856 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:38:35,118 | Send TPS: 1286 | Max RT(ms): 947 | Average RT(ms):   6.269 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:38:45,117 | Send TPS: 1401 | Max RT(ms): 947 | Average RT(ms):   5.697 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:38:55,117 | Send TPS: 1274 | Max RT(ms): 947 | Average RT(ms):   6.244 | Send Failed: 0 | Response Failed: 0
