topic: BenchmarkTest, threadCount: 8, messageSize: 16384, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 03:01:01,010 | Send TPS: 2837 | Max RT(ms): 567 | Average RT(ms):   2.848 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:01:11,010 | Send TPS: 5140 | Max RT(ms): 567 | Average RT(ms):   1.552 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:01:21,010 | Send TPS: 1998 | Max RT(ms): 567 | Average RT(ms):   4.003 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:01:31,128 | Send TPS: 5690 | Max RT(ms): 567 | Average RT(ms):   1.400 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:01:41,010 | Send TPS: 3347 | Max RT(ms): 567 | Average RT(ms):   2.388 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:01:51,010 | Send TPS: 3446 | Max RT(ms): 803 | Average RT(ms):   2.276 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:02:01,010 | Send TPS: 5768 | Max RT(ms): 803 | Average RT(ms):   1.383 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:02:11,010 | Send TPS: 5776 | Max RT(ms): 803 | Average RT(ms):   1.383 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:02:21,010 | Send TPS: 5922 | Max RT(ms): 803 | Average RT(ms):   1.349 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:02:31,010 | Send TPS: 5806 | Max RT(ms): 803 | Average RT(ms):   1.376 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:02:41,010 | Send TPS: 5878 | Max RT(ms): 803 | Average RT(ms):   1.360 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:02:51,010 | Send TPS: 5801 | Max RT(ms): 803 | Average RT(ms):   1.377 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:03:01,010 | Send TPS: 5862 | Max RT(ms): 803 | Average RT(ms):   1.363 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:03:11,010 | Send TPS: 5958 | Max RT(ms): 803 | Average RT(ms):   1.341 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:03:21,010 | Send TPS: 5609 | Max RT(ms): 803 | Average RT(ms):   1.425 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:03:31,019 | Send TPS: 4187 | Max RT(ms): 803 | Average RT(ms):   1.908 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:03:41,010 | Send TPS: 1233 | Max RT(ms): 803 | Average RT(ms):   6.483 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:03:51,011 | Send TPS: 1158 | Max RT(ms): 1836 | Average RT(ms):   6.906 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:04:01,010 | Send TPS: 1297 | Max RT(ms): 1836 | Average RT(ms):   6.151 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:04:11,010 | Send TPS: 1137 | Max RT(ms): 1836 | Average RT(ms):   7.021 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:04:21,009 | Send TPS: 1061 | Max RT(ms): 1836 | Average RT(ms):   7.513 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:04:31,010 | Send TPS: 1174 | Max RT(ms): 1836 | Average RT(ms):   6.802 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:04:41,009 | Send TPS: 1487 | Max RT(ms): 1836 | Average RT(ms):   5.369 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:04:51,010 | Send TPS: 3084 | Max RT(ms): 1836 | Average RT(ms):   2.589 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:05:01,010 | Send TPS: 2649 | Max RT(ms): 1836 | Average RT(ms):   3.008 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:05:11,010 | Send TPS: 786 | Max RT(ms): 1836 | Average RT(ms):  10.210 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:05:21,010 | Send TPS: 3551 | Max RT(ms): 1836 | Average RT(ms):   2.249 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:05:31,010 | Send TPS: 3401 | Max RT(ms): 1836 | Average RT(ms):   2.351 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:05:41,010 | Send TPS: 3337 | Max RT(ms): 1836 | Average RT(ms):   2.393 | Send Failed: 0 | Response Failed: 0
