topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 02:15:43,428 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:15:53,429 | Consume TPS: 420 | AVG(B2C) RT(ms):  65.551 | AVG(S2C) RT(ms):  58.124 | MAX(B2C) RT(ms): 312 | MAX(S2C) RT(ms): 304 | Consume Fail: 0
Current Time: 2026-08-29 02:16:03,428 | Consume TPS: 1248 | AVG(B2C) RT(ms):   8.850 | AVG(S2C) RT(ms):   5.807 | MAX(B2C) RT(ms): 96 | MAX(S2C) RT(ms): 92 | Consume Fail: 0
Current Time: 2026-08-29 02:16:13,428 | Consume TPS: 3241 | AVG(B2C) RT(ms):   3.763 | AVG(S2C) RT(ms):   2.568 | MAX(B2C) RT(ms): 40 | MAX(S2C) RT(ms): 39 | Consume Fail: 0
Current Time: 2026-08-29 02:16:23,429 | Consume TPS: 3242 | AVG(B2C) RT(ms):   3.686 | AVG(S2C) RT(ms):   2.485 | MAX(B2C) RT(ms): 677 | MAX(S2C) RT(ms): 676 | Consume Fail: 0
Current Time: 2026-08-29 02:16:33,428 | Consume TPS: 1467 | AVG(B2C) RT(ms):   3.681 | AVG(S2C) RT(ms):   2.570 | MAX(B2C) RT(ms): 51 | MAX(S2C) RT(ms): 46 | Consume Fail: 0
Current Time: 2026-08-29 02:16:43,428 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:16:53,428 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:17:03,428 | Consume TPS: 1452 | AVG(B2C) RT(ms):   6.131 | AVG(S2C) RT(ms):   3.840 | MAX(B2C) RT(ms): 50 | MAX(S2C) RT(ms): 49 | Consume Fail: 0
Current Time: 2026-08-29 02:17:13,428 | Consume TPS: 3472 | AVG(B2C) RT(ms):   3.466 | AVG(S2C) RT(ms):   2.350 | MAX(B2C) RT(ms): 28 | MAX(S2C) RT(ms): 25 | Consume Fail: 0
Current Time: 2026-08-29 02:17:23,428 | Consume TPS: 3586 | AVG(B2C) RT(ms):   3.333 | AVG(S2C) RT(ms):   2.247 | MAX(B2C) RT(ms): 22 | MAX(S2C) RT(ms): 21 | Consume Fail: 0
Current Time: 2026-08-29 02:17:33,428 | Consume TPS: 3657 | AVG(B2C) RT(ms):   3.397 | AVG(S2C) RT(ms):   2.329 | MAX(B2C) RT(ms): 24 | MAX(S2C) RT(ms): 23 | Consume Fail: 0
Current Time: 2026-08-29 02:17:43,428 | Consume TPS: 3545 | AVG(B2C) RT(ms):   3.453 | AVG(S2C) RT(ms):   2.331 | MAX(B2C) RT(ms): 732 | MAX(S2C) RT(ms): 731 | Consume Fail: 0
Current Time: 2026-08-29 02:17:53,428 | Consume TPS: 3665 | AVG(B2C) RT(ms):   3.469 | AVG(S2C) RT(ms):   2.394 | MAX(B2C) RT(ms): 648 | MAX(S2C) RT(ms): 647 | Consume Fail: 0
Current Time: 2026-08-29 02:18:03,428 | Consume TPS: 3619 | AVG(B2C) RT(ms):   3.358 | AVG(S2C) RT(ms):   2.280 | MAX(B2C) RT(ms): 606 | MAX(S2C) RT(ms): 605 | Consume Fail: 0
Current Time: 2026-08-29 02:18:13,428 | Consume TPS: 3701 | AVG(B2C) RT(ms):   3.303 | AVG(S2C) RT(ms):   2.237 | MAX(B2C) RT(ms): 413 | MAX(S2C) RT(ms): 412 | Consume Fail: 0
Current Time: 2026-08-29 02:18:23,428 | Consume TPS: 1129 | AVG(B2C) RT(ms):  16.697 | AVG(S2C) RT(ms):  12.512 | MAX(B2C) RT(ms): 296 | MAX(S2C) RT(ms): 285 | Consume Fail: 0
Current Time: 2026-08-29 02:18:33,429 | Consume TPS: 265 | AVG(B2C) RT(ms):  50.771 | AVG(S2C) RT(ms):  36.164 | MAX(B2C) RT(ms): 2456 | MAX(S2C) RT(ms): 2445 | Consume Fail: 0
Current Time: 2026-08-29 02:18:43,428 | Consume TPS: 2693 | AVG(B2C) RT(ms):   9.368 | AVG(S2C) RT(ms):   7.842 | MAX(B2C) RT(ms): 442 | MAX(S2C) RT(ms): 441 | Consume Fail: 0
Current Time: 2026-08-29 02:18:53,428 | Consume TPS: 3452 | AVG(B2C) RT(ms):   3.374 | AVG(S2C) RT(ms):   2.241 | MAX(B2C) RT(ms): 380 | MAX(S2C) RT(ms): 378 | Consume Fail: 0
Current Time: 2026-08-29 02:19:03,428 | Consume TPS: 2672 | AVG(B2C) RT(ms):   7.412 | AVG(S2C) RT(ms):   5.888 | MAX(B2C) RT(ms): 202 | MAX(S2C) RT(ms): 199 | Consume Fail: 0
Current Time: 2026-08-29 02:19:13,428 | Consume TPS: 3415 | AVG(B2C) RT(ms):   4.107 | AVG(S2C) RT(ms):   2.942 | MAX(B2C) RT(ms): 269 | MAX(S2C) RT(ms): 269 | Consume Fail: 0
Current Time: 2026-08-29 02:19:23,428 | Consume TPS: 3672 | AVG(B2C) RT(ms):   3.454 | AVG(S2C) RT(ms):   2.379 | MAX(B2C) RT(ms): 33 | MAX(S2C) RT(ms): 32 | Consume Fail: 0
Current Time: 2026-08-29 02:19:33,428 | Consume TPS: 3662 | AVG(B2C) RT(ms):   3.405 | AVG(S2C) RT(ms):   2.323 | MAX(B2C) RT(ms): 21 | MAX(S2C) RT(ms): 20 | Consume Fail: 0
Current Time: 2026-08-29 02:19:43,428 | Consume TPS: 3624 | AVG(B2C) RT(ms):   3.339 | AVG(S2C) RT(ms):   2.254 | MAX(B2C) RT(ms): 22 | MAX(S2C) RT(ms): 18 | Consume Fail: 0
Current Time: 2026-08-29 02:19:53,428 | Consume TPS: 3616 | AVG(B2C) RT(ms):   3.394 | AVG(S2C) RT(ms):   2.307 | MAX(B2C) RT(ms): 31 | MAX(S2C) RT(ms): 30 | Consume Fail: 0
Current Time: 2026-08-29 02:20:03,428 | Consume TPS: 3654 | AVG(B2C) RT(ms):   3.461 | AVG(S2C) RT(ms):   2.384 | MAX(B2C) RT(ms): 47 | MAX(S2C) RT(ms): 44 | Consume Fail: 0
Current Time: 2026-08-29 02:20:13,428 | Consume TPS: 3488 | AVG(B2C) RT(ms):   3.526 | AVG(S2C) RT(ms):   2.385 | MAX(B2C) RT(ms): 244 | MAX(S2C) RT(ms): 242 | Consume Fail: 0
Current Time: 2026-08-29 02:20:23,428 | Consume TPS: 3735 | AVG(B2C) RT(ms):   3.427 | AVG(S2C) RT(ms):   2.368 | MAX(B2C) RT(ms): 405 | MAX(S2C) RT(ms): 403 | Consume Fail: 0
Current Time: 2026-08-29 02:20:33,429 | Consume TPS: 3727 | AVG(B2C) RT(ms):   3.302 | AVG(S2C) RT(ms):   2.247 | MAX(B2C) RT(ms): 34 | MAX(S2C) RT(ms): 32 | Consume Fail: 0
Current Time: 2026-08-29 02:20:43,429 | Consume TPS: 3684 | AVG(B2C) RT(ms):   3.334 | AVG(S2C) RT(ms):   2.257 | MAX(B2C) RT(ms): 383 | MAX(S2C) RT(ms): 382 | Consume Fail: 0
Current Time: 2026-08-29 02:20:53,428 | Consume TPS: 3622 | AVG(B2C) RT(ms):   3.316 | AVG(S2C) RT(ms):   2.223 | MAX(B2C) RT(ms): 361 | MAX(S2C) RT(ms): 360 | Consume Fail: 0
Current Time: 2026-08-29 02:21:03,428 | Consume TPS: 3639 | AVG(B2C) RT(ms):   3.366 | AVG(S2C) RT(ms):   2.281 | MAX(B2C) RT(ms): 106 | MAX(S2C) RT(ms): 105 | Consume Fail: 0
Current Time: 2026-08-29 02:21:13,428 | Consume TPS: 3573 | AVG(B2C) RT(ms):   3.503 | AVG(S2C) RT(ms):   2.396 | MAX(B2C) RT(ms): 64 | MAX(S2C) RT(ms): 63 | Consume Fail: 0
Current Time: 2026-08-29 02:21:23,428 | Consume TPS: 3720 | AVG(B2C) RT(ms):   3.335 | AVG(S2C) RT(ms):   2.271 | MAX(B2C) RT(ms): 29 | MAX(S2C) RT(ms): 28 | Consume Fail: 0
Current Time: 2026-08-29 02:21:33,428 | Consume TPS: 3698 | AVG(B2C) RT(ms):   3.333 | AVG(S2C) RT(ms):   2.265 | MAX(B2C) RT(ms): 130 | MAX(S2C) RT(ms): 129 | Consume Fail: 0
Current Time: 2026-08-29 02:21:43,428 | Consume TPS: 3655 | AVG(B2C) RT(ms):   3.340 | AVG(S2C) RT(ms):   2.256 | MAX(B2C) RT(ms): 19 | MAX(S2C) RT(ms): 17 | Consume Fail: 0
Current Time: 2026-08-29 02:21:53,428 | Consume TPS: 3266 | AVG(B2C) RT(ms):   3.385 | AVG(S2C) RT(ms):   2.292 | MAX(B2C) RT(ms): 30 | MAX(S2C) RT(ms): 28 | Consume Fail: 0
Current Time: 2026-08-29 02:22:03,428 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:22:13,428 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
