topic: BenchmarkTest, threadCount: 8, messageSize: 16384, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 02:17:03,701 | Send TPS: 1534 | Max RT(ms): 599 | Average RT(ms):   5.244 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:17:13,701 | Send TPS: 3462 | Max RT(ms): 599 | Average RT(ms):   2.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:17:23,701 | Send TPS: 3582 | Max RT(ms): 599 | Average RT(ms):   2.229 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:17:33,701 | Send TPS: 3667 | Max RT(ms): 599 | Average RT(ms):   2.178 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:17:43,702 | Send TPS: 3546 | Max RT(ms): 599 | Average RT(ms):   2.253 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:17:53,701 | Send TPS: 3657 | Max RT(ms): 599 | Average RT(ms):   2.185 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:18:03,701 | Send TPS: 3628 | Max RT(ms): 599 | Average RT(ms):   2.203 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:18:13,701 | Send TPS: 3714 | Max RT(ms): 599 | Average RT(ms):   2.152 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:18:23,701 | Send TPS: 1066 | Max RT(ms): 599 | Average RT(ms):   7.484 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:18:33,728 | Send TPS: 281 | Max RT(ms): 2448 | Average RT(ms):  27.972 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:18:43,701 | Send TPS: 2773 | Max RT(ms): 2448 | Average RT(ms):   2.902 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:18:53,701 | Send TPS: 3446 | Max RT(ms): 2448 | Average RT(ms):   2.314 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:19:03,703 | Send TPS: 2621 | Max RT(ms): 2448 | Average RT(ms):   3.045 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:19:13,701 | Send TPS: 3455 | Max RT(ms): 2448 | Average RT(ms):   2.312 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:19:23,701 | Send TPS: 3667 | Max RT(ms): 2448 | Average RT(ms):   2.178 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:19:33,701 | Send TPS: 3668 | Max RT(ms): 2448 | Average RT(ms):   2.179 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:19:43,701 | Send TPS: 3644 | Max RT(ms): 2448 | Average RT(ms):   2.194 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:19:53,701 | Send TPS: 3606 | Max RT(ms): 2448 | Average RT(ms):   2.216 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:20:03,701 | Send TPS: 3644 | Max RT(ms): 2448 | Average RT(ms):   2.193 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:20:13,701 | Send TPS: 3492 | Max RT(ms): 2448 | Average RT(ms):   2.289 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:20:23,701 | Send TPS: 3743 | Max RT(ms): 2448 | Average RT(ms):   2.136 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:20:33,701 | Send TPS: 3706 | Max RT(ms): 2448 | Average RT(ms):   2.157 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:20:43,701 | Send TPS: 3664 | Max RT(ms): 2448 | Average RT(ms):   2.181 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:20:53,701 | Send TPS: 3625 | Max RT(ms): 2448 | Average RT(ms):   2.204 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:21:03,701 | Send TPS: 3642 | Max RT(ms): 2448 | Average RT(ms):   2.194 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:21:13,701 | Send TPS: 3557 | Max RT(ms): 2448 | Average RT(ms):   2.247 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:21:23,701 | Send TPS: 3711 | Max RT(ms): 2448 | Average RT(ms):   2.154 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:21:33,701 | Send TPS: 3694 | Max RT(ms): 2448 | Average RT(ms):   2.164 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:21:43,701 | Send TPS: 3665 | Max RT(ms): 2448 | Average RT(ms):   2.181 | Send Failed: 0 | Response Failed: 0
