topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 02:24:05,150 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:24:15,150 | Consume TPS: 470 | AVG(B2C) RT(ms):  26.127 | AVG(S2C) RT(ms):  19.576 | MAX(B2C) RT(ms): 296 | MAX(S2C) RT(ms): 226 | Consume Fail: 0
Current Time: 2026-08-29 02:24:25,150 | Consume TPS: 1406 | AVG(B2C) RT(ms):   9.388 | AVG(S2C) RT(ms):   6.658 | MAX(B2C) RT(ms): 107 | MAX(S2C) RT(ms): 102 | Consume Fail: 0
Current Time: 2026-08-29 02:24:35,150 | Consume TPS: 3251 | AVG(B2C) RT(ms):   3.775 | AVG(S2C) RT(ms):   2.587 | MAX(B2C) RT(ms): 41 | MAX(S2C) RT(ms): 40 | Consume Fail: 0
Current Time: 2026-08-29 02:24:45,150 | Consume TPS: 3288 | AVG(B2C) RT(ms):   3.796 | AVG(S2C) RT(ms):   2.604 | MAX(B2C) RT(ms): 226 | MAX(S2C) RT(ms): 225 | Consume Fail: 0
Current Time: 2026-08-29 02:24:55,150 | Consume TPS: 1471 | AVG(B2C) RT(ms):   3.457 | AVG(S2C) RT(ms):   2.365 | MAX(B2C) RT(ms): 205 | MAX(S2C) RT(ms): 204 | Consume Fail: 0
Current Time: 2026-08-29 02:25:05,150 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:25:15,150 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:25:25,150 | Consume TPS: 1693 | AVG(B2C) RT(ms):   5.492 | AVG(S2C) RT(ms):   3.517 | MAX(B2C) RT(ms): 51 | MAX(S2C) RT(ms): 49 | Consume Fail: 0
Current Time: 2026-08-29 02:25:35,150 | Consume TPS: 3571 | AVG(B2C) RT(ms):   3.374 | AVG(S2C) RT(ms):   2.280 | MAX(B2C) RT(ms): 22 | MAX(S2C) RT(ms): 22 | Consume Fail: 0
Current Time: 2026-08-29 02:25:45,150 | Consume TPS: 3628 | AVG(B2C) RT(ms):   3.414 | AVG(S2C) RT(ms):   2.342 | MAX(B2C) RT(ms): 30 | MAX(S2C) RT(ms): 29 | Consume Fail: 0
Current Time: 2026-08-29 02:25:55,150 | Consume TPS: 3687 | AVG(B2C) RT(ms):   3.388 | AVG(S2C) RT(ms):   2.322 | MAX(B2C) RT(ms): 23 | MAX(S2C) RT(ms): 22 | Consume Fail: 0
Current Time: 2026-08-29 02:26:05,150 | Consume TPS: 3509 | AVG(B2C) RT(ms):   3.466 | AVG(S2C) RT(ms):   2.331 | MAX(B2C) RT(ms): 33 | MAX(S2C) RT(ms): 32 | Consume Fail: 0
Current Time: 2026-08-29 02:26:15,150 | Consume TPS: 3722 | AVG(B2C) RT(ms):   3.395 | AVG(S2C) RT(ms):   2.331 | MAX(B2C) RT(ms): 868 | MAX(S2C) RT(ms): 867 | Consume Fail: 0
Current Time: 2026-08-29 02:26:25,150 | Consume TPS: 3714 | AVG(B2C) RT(ms):   3.453 | AVG(S2C) RT(ms):   2.389 | MAX(B2C) RT(ms): 837 | MAX(S2C) RT(ms): 835 | Consume Fail: 0
Current Time: 2026-08-29 02:26:35,150 | Consume TPS: 3600 | AVG(B2C) RT(ms):   3.508 | AVG(S2C) RT(ms):   2.405 | MAX(B2C) RT(ms): 849 | MAX(S2C) RT(ms): 848 | Consume Fail: 0
Current Time: 2026-08-29 02:26:45,232 | Consume TPS: 1093 | AVG(B2C) RT(ms):  60.024 | AVG(S2C) RT(ms):  55.719 | MAX(B2C) RT(ms): 3169 | MAX(S2C) RT(ms): 3167 | Consume Fail: 0
Current Time: 2026-08-29 02:26:55,150 | Consume TPS: 214 | AVG(B2C) RT(ms): 156.853 | AVG(S2C) RT(ms): 139.586 | MAX(B2C) RT(ms): 4095 | MAX(S2C) RT(ms): 4094 | Consume Fail: 0
