topic: BenchmarkTest, threadCount: 8, messageSize: 1024, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 00:33:01,808 | Send TPS: 914 | Max RT(ms): 802 | Average RT(ms):   8.772 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:33:11,808 | Send TPS: 1621 | Max RT(ms): 802 | Average RT(ms):   4.935 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:33:21,808 | Send TPS: 4199 | Max RT(ms): 802 | Average RT(ms):   1.901 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:33:31,808 | Send TPS: 4489 | Max RT(ms): 802 | Average RT(ms):   1.779 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:33:41,808 | Send TPS: 4611 | Max RT(ms): 802 | Average RT(ms):   1.733 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:33:51,808 | Send TPS: 4956 | Max RT(ms): 802 | Average RT(ms):   1.612 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:34:01,808 | Send TPS: 4848 | Max RT(ms): 802 | Average RT(ms):   1.648 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:34:11,809 | Send TPS: 4932 | Max RT(ms): 802 | Average RT(ms):   1.620 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:34:21,808 | Send TPS: 4950 | Max RT(ms): 802 | Average RT(ms):   1.615 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:34:31,808 | Send TPS: 4950 | Max RT(ms): 802 | Average RT(ms):   1.615 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:34:41,808 | Send TPS: 4967 | Max RT(ms): 802 | Average RT(ms):   1.609 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:34:51,808 | Send TPS: 4922 | Max RT(ms): 802 | Average RT(ms):   1.624 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:35:01,808 | Send TPS: 4918 | Max RT(ms): 802 | Average RT(ms):   1.625 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:35:11,808 | Send TPS: 4941 | Max RT(ms): 802 | Average RT(ms):   1.618 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:35:21,808 | Send TPS: 4976 | Max RT(ms): 802 | Average RT(ms):   1.607 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:35:31,808 | Send TPS: 4998 | Max RT(ms): 802 | Average RT(ms):   1.599 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:35:41,808 | Send TPS: 4974 | Max RT(ms): 802 | Average RT(ms):   1.607 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:35:51,808 | Send TPS: 5009 | Max RT(ms): 802 | Average RT(ms):   1.595 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:36:01,808 | Send TPS: 4912 | Max RT(ms): 802 | Average RT(ms):   1.626 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:36:11,808 | Send TPS: 4850 | Max RT(ms): 802 | Average RT(ms):   1.648 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:36:21,808 | Send TPS: 5012 | Max RT(ms): 802 | Average RT(ms):   1.595 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:36:31,808 | Send TPS: 5000 | Max RT(ms): 802 | Average RT(ms):   1.598 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:36:41,808 | Send TPS: 5005 | Max RT(ms): 802 | Average RT(ms):   1.597 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:36:51,808 | Send TPS: 4964 | Max RT(ms): 802 | Average RT(ms):   1.610 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:37:01,808 | Send TPS: 4834 | Max RT(ms): 802 | Average RT(ms):   1.654 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:37:11,808 | Send TPS: 4957 | Max RT(ms): 802 | Average RT(ms):   1.613 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:37:21,808 | Send TPS: 4910 | Max RT(ms): 802 | Average RT(ms):   1.628 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:37:31,808 | Send TPS: 4992 | Max RT(ms): 802 | Average RT(ms):   1.601 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:37:41,808 | Send TPS: 4984 | Max RT(ms): 802 | Average RT(ms):   1.603 | Send Failed: 0 | Response Failed: 0
