topic: BenchmarkTest, threadCount: 8, messageSize: 1024, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 00:54:28,008 | Send TPS: 1000 | Max RT(ms): 815 | Average RT(ms):   8.031 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:54:38,008 | Send TPS: 1538 | Max RT(ms): 815 | Average RT(ms):   5.201 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:54:48,007 | Send TPS: 4410 | Max RT(ms): 815 | Average RT(ms):   1.809 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:54:58,007 | Send TPS: 4675 | Max RT(ms): 815 | Average RT(ms):   1.709 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:55:08,007 | Send TPS: 4564 | Max RT(ms): 815 | Average RT(ms):   1.750 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:55:18,008 | Send TPS: 4920 | Max RT(ms): 815 | Average RT(ms):   1.624 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:55:28,008 | Send TPS: 4729 | Max RT(ms): 815 | Average RT(ms):   1.689 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:55:38,007 | Send TPS: 4899 | Max RT(ms): 815 | Average RT(ms):   1.632 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:55:48,008 | Send TPS: 4939 | Max RT(ms): 815 | Average RT(ms):   1.618 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:55:58,007 | Send TPS: 4878 | Max RT(ms): 815 | Average RT(ms):   1.638 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:56:08,008 | Send TPS: 4851 | Max RT(ms): 815 | Average RT(ms):   1.647 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:56:18,007 | Send TPS: 4921 | Max RT(ms): 815 | Average RT(ms):   1.624 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:56:28,008 | Send TPS: 4890 | Max RT(ms): 815 | Average RT(ms):   1.634 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:56:38,007 | Send TPS: 4919 | Max RT(ms): 815 | Average RT(ms):   1.625 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:56:48,007 | Send TPS: 4959 | Max RT(ms): 815 | Average RT(ms):   1.611 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:56:58,008 | Send TPS: 4917 | Max RT(ms): 815 | Average RT(ms):   1.625 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:57:08,008 | Send TPS: 4920 | Max RT(ms): 815 | Average RT(ms):   1.624 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:57:18,007 | Send TPS: 4951 | Max RT(ms): 815 | Average RT(ms):   1.614 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:57:28,007 | Send TPS: 4911 | Max RT(ms): 815 | Average RT(ms):   1.628 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:57:38,007 | Send TPS: 4708 | Max RT(ms): 815 | Average RT(ms):   1.697 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:57:48,007 | Send TPS: 4912 | Max RT(ms): 815 | Average RT(ms):   1.627 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:57:58,007 | Send TPS: 4924 | Max RT(ms): 815 | Average RT(ms):   1.623 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:58:08,007 | Send TPS: 4885 | Max RT(ms): 815 | Average RT(ms):   1.636 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:58:18,008 | Send TPS: 4919 | Max RT(ms): 815 | Average RT(ms):   1.624 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:58:28,008 | Send TPS: 4932 | Max RT(ms): 815 | Average RT(ms):   1.620 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:58:38,007 | Send TPS: 4858 | Max RT(ms): 815 | Average RT(ms):   1.645 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:58:48,007 | Send TPS: 4817 | Max RT(ms): 815 | Average RT(ms):   1.659 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:58:58,007 | Send TPS: 4901 | Max RT(ms): 815 | Average RT(ms):   1.631 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 00:59:08,007 | Send TPS: 4896 | Max RT(ms): 815 | Average RT(ms):   1.632 | Send Failed: 0 | Response Failed: 0
