topic: BenchmarkTest, threadCount: 8, messageSize: 131072, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 03:59:17,167 | Send TPS: 822 | Max RT(ms): 607 | Average RT(ms):   9.851 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:59:27,168 | Send TPS: 1891 | Max RT(ms): 607 | Average RT(ms):   4.226 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:59:37,167 | Send TPS: 2095 | Max RT(ms): 607 | Average RT(ms):   3.803 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:59:47,167 | Send TPS: 2102 | Max RT(ms): 607 | Average RT(ms):   3.798 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:59:57,167 | Send TPS: 1876 | Max RT(ms): 607 | Average RT(ms):   4.251 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:00:07,167 | Send TPS: 2130 | Max RT(ms): 607 | Average RT(ms):   3.746 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:00:17,167 | Send TPS: 2002 | Max RT(ms): 607 | Average RT(ms):   3.979 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:00:27,167 | Send TPS: 2048 | Max RT(ms): 607 | Average RT(ms):   3.893 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:00:37,167 | Send TPS: 2165 | Max RT(ms): 607 | Average RT(ms):   3.686 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:00:47,166 | Send TPS: 1608 | Max RT(ms): 607 | Average RT(ms):   4.809 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:00:57,167 | Send TPS: 1776 | Max RT(ms): 1223 | Average RT(ms):   4.269 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:01:07,167 | Send TPS: 2143 | Max RT(ms): 1223 | Average RT(ms):   3.719 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:01:17,167 | Send TPS: 1929 | Max RT(ms): 1223 | Average RT(ms):   4.127 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:01:27,167 | Send TPS: 2116 | Max RT(ms): 1223 | Average RT(ms):   3.763 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:01:37,167 | Send TPS: 1948 | Max RT(ms): 1223 | Average RT(ms):   4.092 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:01:47,169 | Send TPS: 1696 | Max RT(ms): 1223 | Average RT(ms):   4.706 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:01:57,167 | Send TPS: 823 | Max RT(ms): 2611 | Average RT(ms):   9.698 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:02:07,167 | Send TPS: 1989 | Max RT(ms): 2611 | Average RT(ms):   4.010 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:02:17,167 | Send TPS: 1342 | Max RT(ms): 2611 | Average RT(ms):   6.229 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:02:27,195 | Send TPS: 458 | Max RT(ms): 2611 | Average RT(ms):  17.469 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:02:37,167 | Send TPS: 203 | Max RT(ms): 2611 | Average RT(ms):  41.563 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:02:47,167 | Send TPS: 163 | Max RT(ms): 2611 | Average RT(ms):  47.388 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:02:57,167 | Send TPS: 159 | Max RT(ms): 2611 | Average RT(ms):  49.914 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:03:07,167 | Send TPS: 188 | Max RT(ms): 2611 | Average RT(ms):  42.644 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:03:17,167 | Send TPS: 188 | Max RT(ms): 2611 | Average RT(ms):  42.184 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:03:27,167 | Send TPS: 160 | Max RT(ms): 2611 | Average RT(ms):  50.119 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:03:37,167 | Send TPS: 812 | Max RT(ms): 2611 | Average RT(ms):   9.669 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:03:47,167 | Send TPS: 1198 | Max RT(ms): 2611 | Average RT(ms):   6.647 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 04:03:57,172 | Send TPS: 288 | Max RT(ms): 2611 | Average RT(ms):  27.712 | Send Failed: 0 | Response Failed: 0
