topic: BenchmarkTest, threadCount: 8, messageSize: 131072, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 03:25:52,598 | Send TPS: 522 | Max RT(ms): 587 | Average RT(ms):  15.539 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:26:02,614 | Send TPS: 664 | Max RT(ms): 587 | Average RT(ms):  12.013 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:26:12,599 | Send TPS: 1249 | Max RT(ms): 587 | Average RT(ms):   6.387 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:26:22,598 | Send TPS: 1354 | Max RT(ms): 587 | Average RT(ms):   5.900 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:26:32,597 | Send TPS: 1342 | Max RT(ms): 587 | Average RT(ms):   5.948 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:26:42,598 | Send TPS: 1216 | Max RT(ms): 587 | Average RT(ms):   6.550 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:26:52,597 | Send TPS: 1355 | Max RT(ms): 587 | Average RT(ms):   5.891 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:27:02,598 | Send TPS: 1378 | Max RT(ms): 587 | Average RT(ms):   5.794 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:27:12,598 | Send TPS: 881 | Max RT(ms): 894 | Average RT(ms):   9.043 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:27:22,597 | Send TPS: 1202 | Max RT(ms): 894 | Average RT(ms):   6.621 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:27:32,597 | Send TPS: 1034 | Max RT(ms): 1007 | Average RT(ms):   7.709 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:27:42,597 | Send TPS: 1244 | Max RT(ms): 1007 | Average RT(ms):   6.410 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:27:52,597 | Send TPS: 1399 | Max RT(ms): 1007 | Average RT(ms):   5.698 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:28:02,597 | Send TPS: 1254 | Max RT(ms): 1007 | Average RT(ms):   6.352 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:28:12,598 | Send TPS: 1480 | Max RT(ms): 1007 | Average RT(ms):   5.393 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:28:22,597 | Send TPS: 1389 | Max RT(ms): 1007 | Average RT(ms):   5.744 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:28:32,597 | Send TPS: 1215 | Max RT(ms): 1007 | Average RT(ms):   6.569 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:28:42,597 | Send TPS: 1355 | Max RT(ms): 1007 | Average RT(ms):   5.880 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:28:52,598 | Send TPS: 1372 | Max RT(ms): 1007 | Average RT(ms):   5.800 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:29:02,597 | Send TPS: 1312 | Max RT(ms): 1007 | Average RT(ms):   6.093 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:29:12,598 | Send TPS: 1381 | Max RT(ms): 1007 | Average RT(ms):   5.775 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:29:22,597 | Send TPS: 1079 | Max RT(ms): 1209 | Average RT(ms):   7.395 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:29:32,597 | Send TPS: 990 | Max RT(ms): 1209 | Average RT(ms):   8.057 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:29:42,597 | Send TPS: 1428 | Max RT(ms): 1209 | Average RT(ms):   5.593 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:29:52,598 | Send TPS: 1310 | Max RT(ms): 1209 | Average RT(ms):   6.092 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:30:02,597 | Send TPS: 1383 | Max RT(ms): 1209 | Average RT(ms):   5.766 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:30:12,599 | Send TPS: 1482 | Max RT(ms): 1209 | Average RT(ms):   5.385 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:30:22,597 | Send TPS: 1340 | Max RT(ms): 1209 | Average RT(ms):   5.963 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:30:32,597 | Send TPS: 1369 | Max RT(ms): 1209 | Average RT(ms):   5.825 | Send Failed: 0 | Response Failed: 0
