topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 03:49:41,549 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 03:49:51,549 | Consume TPS: 270 | AVG(B2C) RT(ms):  48.427 | AVG(S2C) RT(ms):  36.523 | MAX(B2C) RT(ms): 247 | MAX(S2C) RT(ms): 241 | Consume Fail: 0
Current Time: 2026-08-29 03:50:01,549 | Consume TPS: 599 | AVG(B2C) RT(ms):  20.117 | AVG(S2C) RT(ms):  13.089 | MAX(B2C) RT(ms): 118 | MAX(S2C) RT(ms): 104 | Consume Fail: 0
Current Time: 2026-08-29 03:50:11,549 | Consume TPS: 1199 | AVG(B2C) RT(ms):  10.079 | AVG(S2C) RT(ms):   6.300 | MAX(B2C) RT(ms): 72 | MAX(S2C) RT(ms): 59 | Consume Fail: 0
Current Time: 2026-08-29 03:50:21,549 | Consume TPS: 1402 | AVG(B2C) RT(ms):   8.312 | AVG(S2C) RT(ms):   4.930 | MAX(B2C) RT(ms): 55 | MAX(S2C) RT(ms): 52 | Consume Fail: 0
Current Time: 2026-08-29 03:50:31,549 | Consume TPS: 596 | AVG(B2C) RT(ms):   8.522 | AVG(S2C) RT(ms):   5.332 | MAX(B2C) RT(ms): 35 | MAX(S2C) RT(ms): 31 | Consume Fail: 0
Current Time: 2026-08-29 03:50:41,549 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 03:50:51,549 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 03:51:01,549 | Consume TPS: 726 | AVG(B2C) RT(ms):  10.434 | AVG(S2C) RT(ms):   5.914 | MAX(B2C) RT(ms): 203 | MAX(S2C) RT(ms): 190 | Consume Fail: 0
Current Time: 2026-08-29 03:51:11,735 | Consume TPS: 292 | AVG(B2C) RT(ms):  61.384 | AVG(S2C) RT(ms):  46.140 | MAX(B2C) RT(ms): 678 | MAX(S2C) RT(ms): 665 | Consume Fail: 0
Current Time: 2026-08-29 03:51:21,549 | Consume TPS: 1238 | AVG(B2C) RT(ms):  14.429 | AVG(S2C) RT(ms):  10.779 | MAX(B2C) RT(ms): 577 | MAX(S2C) RT(ms): 572 | Consume Fail: 0
Current Time: 2026-08-29 03:51:31,549 | Consume TPS: 429 | AVG(B2C) RT(ms):  65.764 | AVG(S2C) RT(ms):  56.027 | MAX(B2C) RT(ms): 2382 | MAX(S2C) RT(ms): 591 | Consume Fail: 0
Current Time: 2026-08-29 03:51:41,549 | Consume TPS: 1204 | AVG(B2C) RT(ms):  74.483 | AVG(S2C) RT(ms):  70.775 | MAX(B2C) RT(ms): 1530 | MAX(S2C) RT(ms): 1522 | Consume Fail: 0
Current Time: 2026-08-29 03:51:51,549 | Consume TPS: 1537 | AVG(B2C) RT(ms):   7.861 | AVG(S2C) RT(ms):   4.829 | MAX(B2C) RT(ms): 38 | MAX(S2C) RT(ms): 33 | Consume Fail: 0
Current Time: 2026-08-29 03:52:01,549 | Consume TPS: 1342 | AVG(B2C) RT(ms):   9.341 | AVG(S2C) RT(ms):   5.963 | MAX(B2C) RT(ms): 133 | MAX(S2C) RT(ms): 66 | Consume Fail: 0
Current Time: 2026-08-29 03:52:11,549 | Consume TPS: 1363 | AVG(B2C) RT(ms):   7.780 | AVG(S2C) RT(ms):   4.624 | MAX(B2C) RT(ms): 281 | MAX(S2C) RT(ms): 279 | Consume Fail: 0
Current Time: 2026-08-29 03:52:21,549 | Consume TPS: 1329 | AVG(B2C) RT(ms):  14.503 | AVG(S2C) RT(ms):  11.049 | MAX(B2C) RT(ms): 777 | MAX(S2C) RT(ms): 278 | Consume Fail: 0
Current Time: 2026-08-29 03:52:31,549 | Consume TPS: 813 | AVG(B2C) RT(ms):  24.137 | AVG(S2C) RT(ms):  19.106 | MAX(B2C) RT(ms): 1589 | MAX(S2C) RT(ms): 1183 | Consume Fail: 0
Current Time: 2026-08-29 03:52:41,549 | Consume TPS: 1454 | AVG(B2C) RT(ms):   7.975 | AVG(S2C) RT(ms):   4.829 | MAX(B2C) RT(ms): 47 | MAX(S2C) RT(ms): 45 | Consume Fail: 0
Current Time: 2026-08-29 03:52:51,550 | Consume TPS: 1342 | AVG(B2C) RT(ms):   8.271 | AVG(S2C) RT(ms):   4.925 | MAX(B2C) RT(ms): 40 | MAX(S2C) RT(ms): 32 | Consume Fail: 0
Current Time: 2026-08-29 03:53:01,549 | Consume TPS: 1328 | AVG(B2C) RT(ms):   8.430 | AVG(S2C) RT(ms):   5.151 | MAX(B2C) RT(ms): 125 | MAX(S2C) RT(ms): 82 | Consume Fail: 0
Current Time: 2026-08-29 03:53:11,549 | Consume TPS: 1355 | AVG(B2C) RT(ms):  14.840 | AVG(S2C) RT(ms):  11.270 | MAX(B2C) RT(ms): 939 | MAX(S2C) RT(ms): 935 | Consume Fail: 0
Current Time: 2026-08-29 03:53:21,549 | Consume TPS: 1023 | AVG(B2C) RT(ms):   9.223 | AVG(S2C) RT(ms):   5.073 | MAX(B2C) RT(ms): 595 | MAX(S2C) RT(ms): 102 | Consume Fail: 0
Current Time: 2026-08-29 03:53:31,549 | Consume TPS: 1407 | AVG(B2C) RT(ms):   9.898 | AVG(S2C) RT(ms):   6.625 | MAX(B2C) RT(ms): 136 | MAX(S2C) RT(ms): 134 | Consume Fail: 0
Current Time: 2026-08-29 03:53:41,549 | Consume TPS: 1381 | AVG(B2C) RT(ms): 180.844 | AVG(S2C) RT(ms): 177.574 | MAX(B2C) RT(ms): 1443 | MAX(S2C) RT(ms): 1441 | Consume Fail: 0
Current Time: 2026-08-29 03:53:51,549 | Consume TPS: 1341 | AVG(B2C) RT(ms):   8.127 | AVG(S2C) RT(ms):   4.813 | MAX(B2C) RT(ms): 131 | MAX(S2C) RT(ms): 44 | Consume Fail: 0
Current Time: 2026-08-29 03:54:01,549 | Consume TPS: 1421 | AVG(B2C) RT(ms):   8.230 | AVG(S2C) RT(ms):   5.045 | MAX(B2C) RT(ms): 52 | MAX(S2C) RT(ms): 34 | Consume Fail: 0
Current Time: 2026-08-29 03:54:11,549 | Consume TPS: 1125 | AVG(B2C) RT(ms):   8.822 | AVG(S2C) RT(ms):   5.170 | MAX(B2C) RT(ms): 327 | MAX(S2C) RT(ms): 86 | Consume Fail: 0
Current Time: 2026-08-29 03:54:21,549 | Consume TPS: 813 | AVG(B2C) RT(ms):   9.237 | AVG(S2C) RT(ms):   4.948 | MAX(B2C) RT(ms): 1103 | MAX(S2C) RT(ms): 42 | Consume Fail: 0
Current Time: 2026-08-29 03:54:31,551 | Consume TPS: 1382 | AVG(B2C) RT(ms):   8.180 | AVG(S2C) RT(ms):   4.892 | MAX(B2C) RT(ms): 46 | MAX(S2C) RT(ms): 38 | Consume Fail: 0
Current Time: 2026-08-29 03:54:41,549 | Consume TPS: 1387 | AVG(B2C) RT(ms):   8.444 | AVG(S2C) RT(ms):   5.144 | MAX(B2C) RT(ms): 52 | MAX(S2C) RT(ms): 48 | Consume Fail: 0
Current Time: 2026-08-29 03:54:51,549 | Consume TPS: 1370 | AVG(B2C) RT(ms):   9.229 | AVG(S2C) RT(ms):   5.950 | MAX(B2C) RT(ms): 97 | MAX(S2C) RT(ms): 96 | Consume Fail: 0
Current Time: 2026-08-29 03:55:01,549 | Consume TPS: 1397 | AVG(B2C) RT(ms):   8.283 | AVG(S2C) RT(ms):   5.004 | MAX(B2C) RT(ms): 54 | MAX(S2C) RT(ms): 39 | Consume Fail: 0
Current Time: 2026-08-29 03:55:11,549 | Consume TPS: 1392 | AVG(B2C) RT(ms):   8.411 | AVG(S2C) RT(ms):   5.140 | MAX(B2C) RT(ms): 100 | MAX(S2C) RT(ms): 97 | Consume Fail: 0
Current Time: 2026-08-29 03:55:21,549 | Consume TPS: 1400 | AVG(B2C) RT(ms):   7.870 | AVG(S2C) RT(ms):   4.622 | MAX(B2C) RT(ms): 61 | MAX(S2C) RT(ms): 58 | Consume Fail: 0
Current Time: 2026-08-29 03:55:31,551 | Consume TPS: 1372 | AVG(B2C) RT(ms):   8.380 | AVG(S2C) RT(ms):   5.080 | MAX(B2C) RT(ms): 120 | MAX(S2C) RT(ms): 66 | Consume Fail: 0
Current Time: 2026-08-29 03:55:41,549 | Consume TPS: 1396 | AVG(B2C) RT(ms):   8.345 | AVG(S2C) RT(ms):   5.061 | MAX(B2C) RT(ms): 124 | MAX(S2C) RT(ms): 41 | Consume Fail: 0
Current Time: 2026-08-29 03:55:51,549 | Consume TPS: 1374 | AVG(B2C) RT(ms):   8.208 | AVG(S2C) RT(ms):   4.821 | MAX(B2C) RT(ms): 68 | MAX(S2C) RT(ms): 48 | Consume Fail: 0
Current Time: 2026-08-29 03:56:01,549 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 31 | MAX(S2C) RT(ms): 27 | Consume Fail: 0
Current Time: 2026-08-29 03:56:11,549 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 03:56:21,549 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
