topic: BenchmarkTest, threadCount: 8, messageSize: 16384, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 02:52:44,722 | Send TPS: 2835 | Max RT(ms): 576 | Average RT(ms):   2.842 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:52:54,721 | Send TPS: 5590 | Max RT(ms): 576 | Average RT(ms):   1.427 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:53:04,721 | Send TPS: 5970 | Max RT(ms): 576 | Average RT(ms):   1.338 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:53:14,722 | Send TPS: 6062 | Max RT(ms): 576 | Average RT(ms):   1.318 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:53:24,721 | Send TPS: 2955 | Max RT(ms): 576 | Average RT(ms):   2.676 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:53:34,722 | Send TPS: 2664 | Max RT(ms): 576 | Average RT(ms):   3.025 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:53:44,722 | Send TPS: 5564 | Max RT(ms): 576 | Average RT(ms):   1.433 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:53:54,736 | Send TPS: 1296 | Max RT(ms): 2296 | Average RT(ms):   5.053 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:54:04,721 | Send TPS: 5727 | Max RT(ms): 2296 | Average RT(ms):   1.395 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:54:14,721 | Send TPS: 6124 | Max RT(ms): 2296 | Average RT(ms):   1.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:54:24,721 | Send TPS: 6154 | Max RT(ms): 2296 | Average RT(ms):   1.298 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:54:34,721 | Send TPS: 5852 | Max RT(ms): 2296 | Average RT(ms):   1.365 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:54:44,721 | Send TPS: 6001 | Max RT(ms): 2296 | Average RT(ms):   1.331 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:54:54,721 | Send TPS: 6075 | Max RT(ms): 2296 | Average RT(ms):   1.315 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:55:04,722 | Send TPS: 5759 | Max RT(ms): 2296 | Average RT(ms):   1.388 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:55:14,723 | Send TPS: 4122 | Max RT(ms): 2296 | Average RT(ms):   1.939 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:55:24,721 | Send TPS: 1256 | Max RT(ms): 2296 | Average RT(ms):   6.366 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:55:34,721 | Send TPS: 1324 | Max RT(ms): 2296 | Average RT(ms):   5.901 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:55:44,721 | Send TPS: 1481 | Max RT(ms): 2296 | Average RT(ms):   5.382 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:55:54,725 | Send TPS: 1279 | Max RT(ms): 2296 | Average RT(ms):   6.243 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:56:04,725 | Send TPS: 1134 | Max RT(ms): 2296 | Average RT(ms):   7.034 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:56:14,723 | Send TPS: 1175 | Max RT(ms): 2296 | Average RT(ms):   6.787 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:56:24,722 | Send TPS: 1671 | Max RT(ms): 2296 | Average RT(ms):   4.780 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:56:34,721 | Send TPS: 2966 | Max RT(ms): 2296 | Average RT(ms):   2.689 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:56:44,722 | Send TPS: 3196 | Max RT(ms): 2296 | Average RT(ms):   2.497 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:56:54,722 | Send TPS: 2436 | Max RT(ms): 2296 | Average RT(ms):   3.277 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:57:04,721 | Send TPS: 2934 | Max RT(ms): 2296 | Average RT(ms):   2.712 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:57:14,722 | Send TPS: 2619 | Max RT(ms): 2296 | Average RT(ms):   3.049 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:57:24,722 | Send TPS: 3431 | Max RT(ms): 2296 | Average RT(ms):   2.326 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:57:34,721 | Send TPS: 3532 | Max RT(ms): 2296 | Average RT(ms):   2.260 | Send Failed: 0 | Response Failed: 0
