topic: BenchmarkTest, threadCount: 8, messageSize: 16384, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 03:17:29,746 | Send TPS: 2790 | Max RT(ms): 561 | Average RT(ms):   2.894 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:17:39,745 | Send TPS: 4621 | Max RT(ms): 561 | Average RT(ms):   1.721 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:17:49,745 | Send TPS: 2993 | Max RT(ms): 561 | Average RT(ms):   2.671 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:17:59,745 | Send TPS: 4727 | Max RT(ms): 561 | Average RT(ms):   1.683 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:18:09,745 | Send TPS: 2644 | Max RT(ms): 1099 | Average RT(ms):   3.295 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:18:19,745 | Send TPS: 5098 | Max RT(ms): 1099 | Average RT(ms):   1.563 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:18:29,745 | Send TPS: 6069 | Max RT(ms): 1099 | Average RT(ms):   1.316 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:18:39,745 | Send TPS: 5794 | Max RT(ms): 1099 | Average RT(ms):   1.379 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:18:49,745 | Send TPS: 6136 | Max RT(ms): 1099 | Average RT(ms):   1.302 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:18:59,745 | Send TPS: 5559 | Max RT(ms): 1099 | Average RT(ms):   1.437 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:19:09,745 | Send TPS: 6065 | Max RT(ms): 1099 | Average RT(ms):   1.318 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:19:19,745 | Send TPS: 6036 | Max RT(ms): 1099 | Average RT(ms):   1.324 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:19:29,745 | Send TPS: 5927 | Max RT(ms): 1099 | Average RT(ms):   1.348 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:19:39,745 | Send TPS: 6035 | Max RT(ms): 1099 | Average RT(ms):   1.324 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:19:49,745 | Send TPS: 5721 | Max RT(ms): 1099 | Average RT(ms):   1.397 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:19:59,747 | Send TPS: 4380 | Max RT(ms): 1099 | Average RT(ms):   1.824 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:20:09,757 | Send TPS: 966 | Max RT(ms): 1099 | Average RT(ms):   8.278 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:20:19,745 | Send TPS: 1465 | Max RT(ms): 1099 | Average RT(ms):   5.459 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:20:29,745 | Send TPS: 919 | Max RT(ms): 2159 | Average RT(ms):   8.573 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:20:39,748 | Send TPS: 1341 | Max RT(ms): 2822 | Average RT(ms):   5.944 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:20:49,747 | Send TPS: 1219 | Max RT(ms): 2822 | Average RT(ms):   6.542 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:20:59,749 | Send TPS: 1159 | Max RT(ms): 2822 | Average RT(ms):   6.869 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:21:09,749 | Send TPS: 1351 | Max RT(ms): 2822 | Average RT(ms):   5.907 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:21:19,746 | Send TPS: 2692 | Max RT(ms): 2822 | Average RT(ms):   2.961 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:21:29,745 | Send TPS: 1810 | Max RT(ms): 2822 | Average RT(ms):   4.406 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:21:39,754 | Send TPS: 2958 | Max RT(ms): 2822 | Average RT(ms):   2.671 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:21:49,750 | Send TPS: 3141 | Max RT(ms): 2822 | Average RT(ms):   2.535 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:21:59,745 | Send TPS: 3387 | Max RT(ms): 2822 | Average RT(ms):   2.356 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 03:22:09,745 | Send TPS: 2821 | Max RT(ms): 2822 | Average RT(ms):   2.824 | Send Failed: 0 | Response Failed: 0
