topic: BenchmarkTest, threadCount: 8, messageSize: 16384, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 01:30:16,501 | Send TPS: 801 | Max RT(ms): 816 | Average RT(ms):   9.961 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:30:26,501 | Send TPS: 943 | Max RT(ms): 816 | Average RT(ms):   8.481 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:30:36,501 | Send TPS: 3322 | Max RT(ms): 816 | Average RT(ms):   2.402 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:30:46,501 | Send TPS: 3316 | Max RT(ms): 816 | Average RT(ms):   2.407 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:30:56,501 | Send TPS: 3690 | Max RT(ms): 816 | Average RT(ms):   2.162 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:31:06,501 | Send TPS: 3367 | Max RT(ms): 816 | Average RT(ms):   2.373 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:31:16,501 | Send TPS: 3614 | Max RT(ms): 816 | Average RT(ms):   2.211 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:31:26,501 | Send TPS: 3852 | Max RT(ms): 816 | Average RT(ms):   2.074 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:31:36,501 | Send TPS: 3899 | Max RT(ms): 816 | Average RT(ms):   2.049 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:31:46,501 | Send TPS: 1441 | Max RT(ms): 816 | Average RT(ms):   5.548 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:31:57,059 | Send TPS: 204 | Max RT(ms): 934 | Average RT(ms):  16.068 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:32:06,505 | Send TPS: 802 | Max RT(ms): 1225 | Average RT(ms):   9.970 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:32:16,501 | Send TPS: 1086 | Max RT(ms): 2164 | Average RT(ms):   7.684 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:32:26,501 | Send TPS: 2997 | Max RT(ms): 2164 | Average RT(ms):   2.768 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:32:36,501 | Send TPS: 3677 | Max RT(ms): 2164 | Average RT(ms):   2.169 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:32:46,501 | Send TPS: 3098 | Max RT(ms): 2164 | Average RT(ms):   2.573 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:32:56,501 | Send TPS: 3877 | Max RT(ms): 2164 | Average RT(ms):   2.061 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:33:06,501 | Send TPS: 3835 | Max RT(ms): 2164 | Average RT(ms):   2.084 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:33:16,501 | Send TPS: 3895 | Max RT(ms): 2164 | Average RT(ms):   2.051 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:33:26,501 | Send TPS: 3869 | Max RT(ms): 2164 | Average RT(ms):   2.065 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:33:36,501 | Send TPS: 3903 | Max RT(ms): 2164 | Average RT(ms):   2.048 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:33:46,501 | Send TPS: 3884 | Max RT(ms): 2164 | Average RT(ms):   2.058 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:33:56,501 | Send TPS: 3829 | Max RT(ms): 2164 | Average RT(ms):   2.088 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:34:06,501 | Send TPS: 3836 | Max RT(ms): 2164 | Average RT(ms):   2.084 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:34:16,501 | Send TPS: 3850 | Max RT(ms): 2164 | Average RT(ms):   2.076 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:34:26,501 | Send TPS: 3859 | Max RT(ms): 2164 | Average RT(ms):   2.071 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:34:36,501 | Send TPS: 3890 | Max RT(ms): 2164 | Average RT(ms):   2.054 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:34:46,501 | Send TPS: 3902 | Max RT(ms): 2164 | Average RT(ms):   2.048 | Send Failed: 8 | Response Failed: 0
Current Time: 2026-08-29 01:34:56,501 | Send TPS: 3885 | Max RT(ms): 2164 | Average RT(ms):   2.057 | Send Failed: 8 | Response Failed: 0
