topic: BenchmarkTest, threadCount: 8, messageSize: 16384, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 01:45:44,574 | Send TPS: 1902 | Max RT(ms): 605 | Average RT(ms):   4.235 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:45:54,574 | Send TPS: 3675 | Max RT(ms): 605 | Average RT(ms):   2.171 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:46:04,574 | Send TPS: 3742 | Max RT(ms): 605 | Average RT(ms):   2.134 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:46:14,574 | Send TPS: 3183 | Max RT(ms): 605 | Average RT(ms):   2.510 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:46:24,574 | Send TPS: 1543 | Max RT(ms): 605 | Average RT(ms):   5.186 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:46:34,574 | Send TPS: 3794 | Max RT(ms): 605 | Average RT(ms):   2.105 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:46:44,574 | Send TPS: 3860 | Max RT(ms): 605 | Average RT(ms):   2.070 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:46:54,574 | Send TPS: 3811 | Max RT(ms): 605 | Average RT(ms):   2.097 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:47:04,574 | Send TPS: 3675 | Max RT(ms): 605 | Average RT(ms):   2.174 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:47:14,574 | Send TPS: 3812 | Max RT(ms): 605 | Average RT(ms):   2.096 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:47:24,574 | Send TPS: 3931 | Max RT(ms): 605 | Average RT(ms):   2.033 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:47:34,574 | Send TPS: 3916 | Max RT(ms): 605 | Average RT(ms):   2.042 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:47:44,574 | Send TPS: 3838 | Max RT(ms): 605 | Average RT(ms):   2.082 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:47:54,574 | Send TPS: 3823 | Max RT(ms): 605 | Average RT(ms):   2.091 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:48:04,574 | Send TPS: 3846 | Max RT(ms): 605 | Average RT(ms):   2.078 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:48:14,574 | Send TPS: 3943 | Max RT(ms): 605 | Average RT(ms):   2.027 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:48:24,574 | Send TPS: 3855 | Max RT(ms): 605 | Average RT(ms):   2.073 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:48:34,574 | Send TPS: 3938 | Max RT(ms): 605 | Average RT(ms):   2.030 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:48:44,574 | Send TPS: 3815 | Max RT(ms): 605 | Average RT(ms):   2.095 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:48:54,574 | Send TPS: 3922 | Max RT(ms): 605 | Average RT(ms):   2.038 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:49:04,574 | Send TPS: 3827 | Max RT(ms): 605 | Average RT(ms):   2.089 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:49:14,574 | Send TPS: 3903 | Max RT(ms): 605 | Average RT(ms):   2.048 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:49:24,574 | Send TPS: 3951 | Max RT(ms): 605 | Average RT(ms):   2.023 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:49:34,576 | Send TPS: 3513 | Max RT(ms): 605 | Average RT(ms):   2.069 | Send Failed: 31 | Response Failed: 0
Current Time: 2026-08-29 01:49:44,574 | Send TPS: 0 | Max RT(ms): 605 | Average RT(ms):     NaN | Send Failed: 5408 | Response Failed: 0
Current Time: 2026-08-29 01:49:54,574 | Send TPS: 0 | Max RT(ms): 605 | Average RT(ms):     NaN | Send Failed: 20448 | Response Failed: 0
Current Time: 2026-08-29 01:50:04,574 | Send TPS: 0 | Max RT(ms): 605 | Average RT(ms):     NaN | Send Failed: 36137 | Response Failed: 0
Current Time: 2026-08-29 01:50:14,573 | Send TPS: 0 | Max RT(ms): 605 | Average RT(ms):     NaN | Send Failed: 51875 | Response Failed: 0
Current Time: 2026-08-29 01:50:24,574 | Send TPS: 0 | Max RT(ms): 605 | Average RT(ms):     NaN | Send Failed: 65912 | Response Failed: 0
