topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 01:55:21,478 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:55:31,478 | Consume TPS: 411 | AVG(B2C) RT(ms):  29.200 | AVG(S2C) RT(ms):  21.539 | MAX(B2C) RT(ms): 269 | MAX(S2C) RT(ms): 246 | Consume Fail: 0
Current Time: 2026-08-29 01:55:41,478 | Consume TPS: 1183 | AVG(B2C) RT(ms):  10.337 | AVG(S2C) RT(ms):   7.070 | MAX(B2C) RT(ms): 73 | MAX(S2C) RT(ms): 68 | Consume Fail: 0
Current Time: 2026-08-29 01:55:51,478 | Consume TPS: 3264 | AVG(B2C) RT(ms):   3.717 | AVG(S2C) RT(ms):   2.547 | MAX(B2C) RT(ms): 242 | MAX(S2C) RT(ms): 240 | Consume Fail: 0
Current Time: 2026-08-29 01:56:01,479 | Consume TPS: 3159 | AVG(B2C) RT(ms):   3.811 | AVG(S2C) RT(ms):   2.591 | MAX(B2C) RT(ms): 152 | MAX(S2C) RT(ms): 151 | Consume Fail: 0
Current Time: 2026-08-29 01:56:11,478 | Consume TPS: 1454 | AVG(B2C) RT(ms):   3.443 | AVG(S2C) RT(ms):   2.346 | MAX(B2C) RT(ms): 42 | MAX(S2C) RT(ms): 39 | Consume Fail: 0
Current Time: 2026-08-29 01:56:21,478 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:56:31,478 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 01:56:41,478 | Consume TPS: 1762 | AVG(B2C) RT(ms):   5.430 | AVG(S2C) RT(ms):   3.534 | MAX(B2C) RT(ms): 73 | MAX(S2C) RT(ms): 66 | Consume Fail: 0
Current Time: 2026-08-29 01:56:51,478 | Consume TPS: 3493 | AVG(B2C) RT(ms):   3.353 | AVG(S2C) RT(ms):   2.247 | MAX(B2C) RT(ms): 23 | MAX(S2C) RT(ms): 22 | Consume Fail: 0
Current Time: 2026-08-29 01:57:01,478 | Consume TPS: 3552 | AVG(B2C) RT(ms):   3.372 | AVG(S2C) RT(ms):   2.281 | MAX(B2C) RT(ms): 18 | MAX(S2C) RT(ms): 16 | Consume Fail: 0
Current Time: 2026-08-29 01:57:11,478 | Consume TPS: 3541 | AVG(B2C) RT(ms):   3.470 | AVG(S2C) RT(ms):   2.346 | MAX(B2C) RT(ms): 171 | MAX(S2C) RT(ms): 170 | Consume Fail: 0
Current Time: 2026-08-29 01:57:21,478 | Consume TPS: 2993 | AVG(B2C) RT(ms):   5.922 | AVG(S2C) RT(ms):   4.536 | MAX(B2C) RT(ms): 108 | MAX(S2C) RT(ms): 106 | Consume Fail: 0
Current Time: 2026-08-29 01:57:31,478 | Consume TPS: 3659 | AVG(B2C) RT(ms):   3.330 | AVG(S2C) RT(ms):   2.264 | MAX(B2C) RT(ms): 200 | MAX(S2C) RT(ms): 176 | Consume Fail: 0
