topic: BenchmarkTest, threadCount: 8, messageSize: 16384, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 01:56:41,793 | Send TPS: 1889 | Max RT(ms): 606 | Average RT(ms):   4.264 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:56:51,793 | Send TPS: 3500 | Max RT(ms): 606 | Average RT(ms):   2.279 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:57:01,793 | Send TPS: 3557 | Max RT(ms): 606 | Average RT(ms):   2.245 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:57:11,793 | Send TPS: 3558 | Max RT(ms): 606 | Average RT(ms):   2.246 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:57:21,793 | Send TPS: 2954 | Max RT(ms): 606 | Average RT(ms):   2.686 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:57:31,793 | Send TPS: 3663 | Max RT(ms): 606 | Average RT(ms):   2.181 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:57:41,793 | Send TPS: 3685 | Max RT(ms): 606 | Average RT(ms):   2.168 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:57:51,793 | Send TPS: 3748 | Max RT(ms): 606 | Average RT(ms):   2.133 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:58:01,802 | Send TPS: 3459 | Max RT(ms): 606 | Average RT(ms):   2.306 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:58:11,793 | Send TPS: 3704 | Max RT(ms): 606 | Average RT(ms):   2.158 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:58:21,793 | Send TPS: 3709 | Max RT(ms): 606 | Average RT(ms):   2.155 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:58:31,793 | Send TPS: 3742 | Max RT(ms): 606 | Average RT(ms):   2.135 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:58:41,793 | Send TPS: 3747 | Max RT(ms): 606 | Average RT(ms):   2.133 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:58:51,793 | Send TPS: 3563 | Max RT(ms): 606 | Average RT(ms):   2.243 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:59:01,794 | Send TPS: 3700 | Max RT(ms): 606 | Average RT(ms):   2.160 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:59:11,794 | Send TPS: 3774 | Max RT(ms): 606 | Average RT(ms):   2.118 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:59:21,793 | Send TPS: 3657 | Max RT(ms): 606 | Average RT(ms):   2.185 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:59:31,793 | Send TPS: 3736 | Max RT(ms): 606 | Average RT(ms):   2.140 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:59:41,793 | Send TPS: 3668 | Max RT(ms): 606 | Average RT(ms):   2.179 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 01:59:51,793 | Send TPS: 3694 | Max RT(ms): 606 | Average RT(ms):   2.163 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:00:01,793 | Send TPS: 3588 | Max RT(ms): 606 | Average RT(ms):   2.227 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:00:11,793 | Send TPS: 3747 | Max RT(ms): 606 | Average RT(ms):   2.133 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:00:21,793 | Send TPS: 3685 | Max RT(ms): 606 | Average RT(ms):   2.169 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:00:31,793 | Send TPS: 3684 | Max RT(ms): 606 | Average RT(ms):   2.169 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:00:41,793 | Send TPS: 3728 | Max RT(ms): 606 | Average RT(ms):   2.144 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:00:51,793 | Send TPS: 3709 | Max RT(ms): 606 | Average RT(ms):   2.155 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:01:01,793 | Send TPS: 3693 | Max RT(ms): 606 | Average RT(ms):   2.164 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:01:11,793 | Send TPS: 3678 | Max RT(ms): 606 | Average RT(ms):   2.173 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:01:21,793 | Send TPS: 3741 | Max RT(ms): 606 | Average RT(ms):   2.137 | Send Failed: 0 | Response Failed: 0
