topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 02:07:21,472 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:07:31,472 | Consume TPS: 414 | AVG(B2C) RT(ms):  49.906 | AVG(S2C) RT(ms):  42.478 | MAX(B2C) RT(ms): 318 | MAX(S2C) RT(ms): 305 | Consume Fail: 0
Current Time: 2026-08-29 02:07:41,472 | Consume TPS: 1320 | AVG(B2C) RT(ms):   9.374 | AVG(S2C) RT(ms):   6.480 | MAX(B2C) RT(ms): 154 | MAX(S2C) RT(ms): 147 | Consume Fail: 0
Current Time: 2026-08-29 02:07:51,472 | Consume TPS: 3119 | AVG(B2C) RT(ms):   4.168 | AVG(S2C) RT(ms):   2.937 | MAX(B2C) RT(ms): 1145 | MAX(S2C) RT(ms): 1144 | Consume Fail: 0
Current Time: 2026-08-29 02:08:01,472 | Consume TPS: 3157 | AVG(B2C) RT(ms):   3.822 | AVG(S2C) RT(ms):   2.594 | MAX(B2C) RT(ms): 979 | MAX(S2C) RT(ms): 978 | Consume Fail: 0
Current Time: 2026-08-29 02:08:11,472 | Consume TPS: 1366 | AVG(B2C) RT(ms):   3.624 | AVG(S2C) RT(ms):   2.468 | MAX(B2C) RT(ms): 50 | MAX(S2C) RT(ms): 48 | Consume Fail: 0
Current Time: 2026-08-29 02:08:21,472 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:08:31,472 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:08:41,472 | Consume TPS: 1712 | AVG(B2C) RT(ms):   5.663 | AVG(S2C) RT(ms):   3.689 | MAX(B2C) RT(ms): 50 | MAX(S2C) RT(ms): 48 | Consume Fail: 0
Current Time: 2026-08-29 02:08:51,472 | Consume TPS: 3515 | AVG(B2C) RT(ms):   3.383 | AVG(S2C) RT(ms):   2.283 | MAX(B2C) RT(ms): 26 | MAX(S2C) RT(ms): 24 | Consume Fail: 0
Current Time: 2026-08-29 02:09:01,472 | Consume TPS: 3578 | AVG(B2C) RT(ms):   3.351 | AVG(S2C) RT(ms):   2.253 | MAX(B2C) RT(ms): 26 | MAX(S2C) RT(ms): 26 | Consume Fail: 0
Current Time: 2026-08-29 02:09:11,472 | Consume TPS: 3664 | AVG(B2C) RT(ms):   3.381 | AVG(S2C) RT(ms):   2.317 | MAX(B2C) RT(ms): 374 | MAX(S2C) RT(ms): 372 | Consume Fail: 0
Current Time: 2026-08-29 02:09:21,472 | Consume TPS: 3148 | AVG(B2C) RT(ms):   3.821 | AVG(S2C) RT(ms):   2.519 | MAX(B2C) RT(ms): 831 | MAX(S2C) RT(ms): 830 | Consume Fail: 0
Current Time: 2026-08-29 02:09:31,484 | Consume TPS: 788 | AVG(B2C) RT(ms):  40.905 | AVG(S2C) RT(ms):  34.885 | MAX(B2C) RT(ms): 3873 | MAX(S2C) RT(ms): 3868 | Consume Fail: 0
Current Time: 2026-08-29 02:09:41,472 | Consume TPS: 1458 | AVG(B2C) RT(ms):  11.657 | AVG(S2C) RT(ms):   8.438 | MAX(B2C) RT(ms): 2386 | MAX(S2C) RT(ms): 2384 | Consume Fail: 0
