topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-29 02:32:27,113 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:32:37,113 | Consume TPS: 414 | AVG(B2C) RT(ms):  26.746 | AVG(S2C) RT(ms):  19.313 | MAX(B2C) RT(ms): 247 | MAX(S2C) RT(ms): 162 | Consume Fail: 0
Current Time: 2026-08-29 02:32:47,113 | Consume TPS: 1329 | AVG(B2C) RT(ms):   9.180 | AVG(S2C) RT(ms):   6.352 | MAX(B2C) RT(ms): 88 | MAX(S2C) RT(ms): 83 | Consume Fail: 0
Current Time: 2026-08-29 02:32:57,113 | Consume TPS: 3124 | AVG(B2C) RT(ms):   3.909 | AVG(S2C) RT(ms):   2.695 | MAX(B2C) RT(ms): 65 | MAX(S2C) RT(ms): 64 | Consume Fail: 0
Current Time: 2026-08-29 02:33:07,113 | Consume TPS: 3163 | AVG(B2C) RT(ms):   3.827 | AVG(S2C) RT(ms):   2.608 | MAX(B2C) RT(ms): 147 | MAX(S2C) RT(ms): 146 | Consume Fail: 0
Current Time: 2026-08-29 02:33:17,113 | Consume TPS: 1353 | AVG(B2C) RT(ms):   3.710 | AVG(S2C) RT(ms):   2.555 | MAX(B2C) RT(ms): 130 | MAX(S2C) RT(ms): 129 | Consume Fail: 0
Current Time: 2026-08-29 02:33:27,113 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:33:37,113 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:33:47,113 | Consume TPS: 1806 | AVG(B2C) RT(ms):   5.608 | AVG(S2C) RT(ms):   3.746 | MAX(B2C) RT(ms): 85 | MAX(S2C) RT(ms): 84 | Consume Fail: 0
Current Time: 2026-08-29 02:33:57,114 | Consume TPS: 3571 | AVG(B2C) RT(ms):   3.386 | AVG(S2C) RT(ms):   2.300 | MAX(B2C) RT(ms): 129 | MAX(S2C) RT(ms): 128 | Consume Fail: 0
Current Time: 2026-08-29 02:34:07,113 | Consume TPS: 3601 | AVG(B2C) RT(ms):   3.347 | AVG(S2C) RT(ms):   2.264 | MAX(B2C) RT(ms): 20 | MAX(S2C) RT(ms): 19 | Consume Fail: 0
Current Time: 2026-08-29 02:34:17,113 | Consume TPS: 3624 | AVG(B2C) RT(ms):   3.362 | AVG(S2C) RT(ms):   2.288 | MAX(B2C) RT(ms): 446 | MAX(S2C) RT(ms): 445 | Consume Fail: 0
Current Time: 2026-08-29 02:34:27,113 | Consume TPS: 3581 | AVG(B2C) RT(ms):   3.451 | AVG(S2C) RT(ms):   2.338 | MAX(B2C) RT(ms): 239 | MAX(S2C) RT(ms): 238 | Consume Fail: 0
Current Time: 2026-08-29 02:34:37,113 | Consume TPS: 3749 | AVG(B2C) RT(ms):   3.355 | AVG(S2C) RT(ms):   2.305 | MAX(B2C) RT(ms): 33 | MAX(S2C) RT(ms): 29 | Consume Fail: 0
Current Time: 2026-08-29 02:34:47,113 | Consume TPS: 3706 | AVG(B2C) RT(ms):   3.343 | AVG(S2C) RT(ms):   2.282 | MAX(B2C) RT(ms): 434 | MAX(S2C) RT(ms): 433 | Consume Fail: 0
Current Time: 2026-08-29 02:34:57,113 | Consume TPS: 3493 | AVG(B2C) RT(ms):   3.589 | AVG(S2C) RT(ms):   2.450 | MAX(B2C) RT(ms): 177 | MAX(S2C) RT(ms): 176 | Consume Fail: 0
Current Time: 2026-08-29 02:35:07,124 | Consume TPS: 843 | AVG(B2C) RT(ms):  21.793 | AVG(S2C) RT(ms):  16.200 | MAX(B2C) RT(ms): 2776 | MAX(S2C) RT(ms): 2774 | Consume Fail: 0
Current Time: 2026-08-29 02:35:17,113 | Consume TPS: 310 | AVG(B2C) RT(ms):  86.945 | AVG(S2C) RT(ms):  73.603 | MAX(B2C) RT(ms): 2864 | MAX(S2C) RT(ms): 2861 | Consume Fail: 0
Current Time: 2026-08-29 02:35:27,113 | Consume TPS: 3224 | AVG(B2C) RT(ms):   3.692 | AVG(S2C) RT(ms):   2.496 | MAX(B2C) RT(ms): 1165 | MAX(S2C) RT(ms): 1164 | Consume Fail: 0
Current Time: 2026-08-29 02:35:37,114 | Consume TPS: 3539 | AVG(B2C) RT(ms):   3.304 | AVG(S2C) RT(ms):   2.200 | MAX(B2C) RT(ms): 1097 | MAX(S2C) RT(ms): 1096 | Consume Fail: 0
Current Time: 2026-08-29 02:35:47,113 | Consume TPS: 2258 | AVG(B2C) RT(ms):   8.312 | AVG(S2C) RT(ms):   6.434 | MAX(B2C) RT(ms): 3018 | MAX(S2C) RT(ms): 3016 | Consume Fail: 0
Current Time: 2026-08-29 02:35:57,113 | Consume TPS: 3708 | AVG(B2C) RT(ms):   3.340 | AVG(S2C) RT(ms):   2.276 | MAX(B2C) RT(ms): 562 | MAX(S2C) RT(ms): 562 | Consume Fail: 0
Current Time: 2026-08-29 02:36:07,113 | Consume TPS: 3635 | AVG(B2C) RT(ms):   3.493 | AVG(S2C) RT(ms):   2.410 | MAX(B2C) RT(ms): 23 | MAX(S2C) RT(ms): 22 | Consume Fail: 0
Current Time: 2026-08-29 02:36:17,113 | Consume TPS: 3691 | AVG(B2C) RT(ms):   3.372 | AVG(S2C) RT(ms):   2.310 | MAX(B2C) RT(ms): 23 | MAX(S2C) RT(ms): 22 | Consume Fail: 0
Current Time: 2026-08-29 02:36:27,113 | Consume TPS: 3632 | AVG(B2C) RT(ms):   3.505 | AVG(S2C) RT(ms):   2.411 | MAX(B2C) RT(ms): 966 | MAX(S2C) RT(ms): 965 | Consume Fail: 0
Current Time: 2026-08-29 02:36:37,113 | Consume TPS: 3579 | AVG(B2C) RT(ms):   3.986 | AVG(S2C) RT(ms):   2.873 | MAX(B2C) RT(ms): 1309 | MAX(S2C) RT(ms): 1308 | Consume Fail: 0
Current Time: 2026-08-29 02:36:47,113 | Consume TPS: 3709 | AVG(B2C) RT(ms):   3.349 | AVG(S2C) RT(ms):   2.286 | MAX(B2C) RT(ms): 1074 | MAX(S2C) RT(ms): 1073 | Consume Fail: 0
Current Time: 2026-08-29 02:36:57,113 | Consume TPS: 3730 | AVG(B2C) RT(ms):   3.450 | AVG(S2C) RT(ms):   2.396 | MAX(B2C) RT(ms): 300 | MAX(S2C) RT(ms): 299 | Consume Fail: 0
Current Time: 2026-08-29 02:37:07,113 | Consume TPS: 3555 | AVG(B2C) RT(ms):   3.451 | AVG(S2C) RT(ms):   2.353 | MAX(B2C) RT(ms): 296 | MAX(S2C) RT(ms): 295 | Consume Fail: 0
Current Time: 2026-08-29 02:37:17,113 | Consume TPS: 3579 | AVG(B2C) RT(ms):   3.779 | AVG(S2C) RT(ms):   2.669 | MAX(B2C) RT(ms): 337 | MAX(S2C) RT(ms): 335 | Consume Fail: 0
Current Time: 2026-08-29 02:37:27,113 | Consume TPS: 3734 | AVG(B2C) RT(ms):   3.438 | AVG(S2C) RT(ms):   2.380 | MAX(B2C) RT(ms): 269 | MAX(S2C) RT(ms): 268 | Consume Fail: 0
Current Time: 2026-08-29 02:37:37,113 | Consume TPS: 3728 | AVG(B2C) RT(ms):   3.282 | AVG(S2C) RT(ms):   2.227 | MAX(B2C) RT(ms): 267 | MAX(S2C) RT(ms): 266 | Consume Fail: 0
Current Time: 2026-08-29 02:37:47,113 | Consume TPS: 3650 | AVG(B2C) RT(ms):   3.499 | AVG(S2C) RT(ms):   2.419 | MAX(B2C) RT(ms): 36 | MAX(S2C) RT(ms): 35 | Consume Fail: 0
Current Time: 2026-08-29 02:37:57,113 | Consume TPS: 3720 | AVG(B2C) RT(ms):   3.239 | AVG(S2C) RT(ms):   2.190 | MAX(B2C) RT(ms): 21 | MAX(S2C) RT(ms): 18 | Consume Fail: 0
Current Time: 2026-08-29 02:38:07,113 | Consume TPS: 3665 | AVG(B2C) RT(ms):   3.339 | AVG(S2C) RT(ms):   2.263 | MAX(B2C) RT(ms): 23 | MAX(S2C) RT(ms): 21 | Consume Fail: 0
Current Time: 2026-08-29 02:38:17,113 | Consume TPS: 3675 | AVG(B2C) RT(ms):   3.435 | AVG(S2C) RT(ms):   2.355 | MAX(B2C) RT(ms): 32 | MAX(S2C) RT(ms): 31 | Consume Fail: 0
Current Time: 2026-08-29 02:38:27,113 | Consume TPS: 3677 | AVG(B2C) RT(ms):   3.265 | AVG(S2C) RT(ms):   2.198 | MAX(B2C) RT(ms): 18 | MAX(S2C) RT(ms): 17 | Consume Fail: 0
Current Time: 2026-08-29 02:38:37,113 | Consume TPS: 3273 | AVG(B2C) RT(ms):   3.385 | AVG(S2C) RT(ms):   2.302 | MAX(B2C) RT(ms): 25 | MAX(S2C) RT(ms): 20 | Consume Fail: 0
Current Time: 2026-08-29 02:38:47,113 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:38:57,113 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
Current Time: 2026-08-29 02:39:07,113 | Consume TPS: 0 | AVG(B2C) RT(ms):     NaN | AVG(S2C) RT(ms):     NaN | MAX(B2C) RT(ms): 0 | MAX(S2C) RT(ms): 0 | Consume Fail: 0
