topic: BenchmarkTest, threadCount: 8, messageSize: 16384, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-29 02:33:47,363 | Send TPS: 1909 | Max RT(ms): 606 | Average RT(ms):   4.212 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:33:57,363 | Send TPS: 3570 | Max RT(ms): 606 | Average RT(ms):   2.235 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:34:07,363 | Send TPS: 3600 | Max RT(ms): 606 | Average RT(ms):   2.218 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:34:17,363 | Send TPS: 3628 | Max RT(ms): 606 | Average RT(ms):   2.202 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:34:27,363 | Send TPS: 3581 | Max RT(ms): 606 | Average RT(ms):   2.231 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:34:37,363 | Send TPS: 3740 | Max RT(ms): 606 | Average RT(ms):   2.136 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:34:47,363 | Send TPS: 3699 | Max RT(ms): 606 | Average RT(ms):   2.160 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:34:57,363 | Send TPS: 3450 | Max RT(ms): 606 | Average RT(ms):   2.317 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:35:07,452 | Send TPS: 792 | Max RT(ms): 606 | Average RT(ms):  10.087 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-29 02:35:17,363 | Send TPS: 412 | Max RT(ms): 2179 | Average RT(ms):  17.103 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:35:27,363 | Send TPS: 3252 | Max RT(ms): 2179 | Average RT(ms):   2.451 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:35:37,363 | Send TPS: 3526 | Max RT(ms): 2179 | Average RT(ms):   2.262 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:35:47,363 | Send TPS: 2259 | Max RT(ms): 2179 | Average RT(ms):   3.537 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:35:57,363 | Send TPS: 3711 | Max RT(ms): 2179 | Average RT(ms):   2.153 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:36:07,363 | Send TPS: 3631 | Max RT(ms): 2179 | Average RT(ms):   2.201 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:36:17,363 | Send TPS: 3677 | Max RT(ms): 2179 | Average RT(ms):   2.174 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:36:27,363 | Send TPS: 3637 | Max RT(ms): 2179 | Average RT(ms):   2.197 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:36:37,363 | Send TPS: 3583 | Max RT(ms): 2179 | Average RT(ms):   2.231 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:36:47,363 | Send TPS: 3703 | Max RT(ms): 2179 | Average RT(ms):   2.158 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:36:57,363 | Send TPS: 3718 | Max RT(ms): 2179 | Average RT(ms):   2.150 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:37:07,363 | Send TPS: 3551 | Max RT(ms): 2179 | Average RT(ms):   2.251 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:37:17,364 | Send TPS: 3573 | Max RT(ms): 2179 | Average RT(ms):   2.237 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:37:27,363 | Send TPS: 3726 | Max RT(ms): 2179 | Average RT(ms):   2.145 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:37:37,363 | Send TPS: 3730 | Max RT(ms): 2179 | Average RT(ms):   2.143 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:37:47,363 | Send TPS: 3652 | Max RT(ms): 2179 | Average RT(ms):   2.188 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:37:57,363 | Send TPS: 3727 | Max RT(ms): 2179 | Average RT(ms):   2.143 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:38:07,363 | Send TPS: 3625 | Max RT(ms): 2179 | Average RT(ms):   2.205 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:38:17,363 | Send TPS: 3665 | Max RT(ms): 2179 | Average RT(ms):   2.180 | Send Failed: 1 | Response Failed: 0
Current Time: 2026-08-29 02:38:27,363 | Send TPS: 3673 | Max RT(ms): 2179 | Average RT(ms):   2.176 | Send Failed: 1 | Response Failed: 0
