epoch,broker_rss_kb,free_mb,swap_used_mb,disk_avail_gb,load1
1787518190,1881880,4817,386,19,3.79
1787518250,2232432,4215,390,18,12.10
1787518310,2519860,4202,392,18,14.94
1787518370,2647516,4194,392,17,14.66
1787518430,2105948,4191,392,18,16.15
1787518491,2557052,4188,392,18,16.48
1787518551,2500316,4189,392,17,16.73
1787518611,2552184,4188,392,18,15.25
1787518671,2781772,4520,732,17,16.81
1787518731,2483856,4617,839,18,14.96
1787518791,2706316,4607,838,17,15.78
1787518851,2165296,4599,837,18,15.93
1787518911,2617940,4594,836,17,16.17
1787518971,2190084,4592,835,18,15.27
1787519031,2641544,4587,834,18,14.85
1787519091,2768148,4584,833,17,16.42
1787519151,2346240,4586,833,18,15.68
1787519211,2796836,4584,832,17,16.11
1787519271,2410980,4583,831,18,15.95
1787519331,2861368,4577,830,17,15.04
1787519391,2099976,4572,829,18,15.68
1787519452,2551624,4571,828,18,16.09
1787519512,2101424,4573,828,18,15.79
1787519572,2551372,4568,826,18,16.50
1787519632,2777392,4563,826,17,15.93
1787519692,2216300,4563,825,18,15.90
1787519752,2667992,4559,824,17,16.38
1787519812,2275640,4559,824,18,16.54
1787519872,2727228,4553,823,17,15.19
1787519932,2094312,4556,822,18,15.41
1787519992,2545068,4551,822,18,16.29
1787520052,2788520,4548,821,17,16.12
1787520112,2407592,4546,818,18,15.94
1787520172,2860232,4544,818,17,17.25
1787520232,2280432,4544,817,18,16.68
1787520292,2730928,4531,816,17,15.07
1787520352,2193176,4531,815,18,15.64
1787520412,2712240,4531,815,18,16.24
1787520473,2100856,4529,814,18,16.33
1787520533,2551564,4524,813,18,16.30
1787520593,3001188,4523,812,17,15.13
1787520653,2409220,4524,812,18,15.47
1787520713,2859904,4521,811,17,16.05
1787520773,2181992,4521,810,18,15.14
1787520833,2633264,4518,810,17,16.07
1787520893,2114964,4522,809,18,16.18
1787520953,2631872,4516,809,18,15.80
1787521013,3083176,4517,808,17,15.09
1787521073,2481172,4516,808,18,15.15
1787521133,2934476,4514,807,17,15.74
1787521193,2335436,4514,806,18,15.57
1787521253,2786756,4511,806,17,15.89
1787521313,2190668,4509,805,18,15.66
1787521373,2641980,4509,805,18,15.24
1787521433,2048984,4510,804,18,16.02
1787521494,2583208,4505,803,18,15.09
1787521554,3042352,4497,803,17,15.28
1787521614,2116132,4497,802,18,15.10
1787521674,2567740,4493,802,18,15.90
1787521734,3018996,4491,801,17,16.11
