topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-24 04:49:50,713 | Consume TPS: 2343 | AVG(B2C) RT(ms): 85449066.853 | AVG(S2C) RT(ms): 85449066.519 | MAX(B2C) RT(ms): 85461926 | MAX(S2C) RT(ms): 85461923 | Consume Fail: 0
Current Time: 2026-08-24 04:50:00,712 | Consume TPS: 28388 | AVG(B2C) RT(ms): 73769933.398 | AVG(S2C) RT(ms): 73769932.765 | MAX(B2C) RT(ms): 85463939 | MAX(S2C) RT(ms): 85463928 | Consume Fail: 0
Current Time: 2026-08-24 04:50:10,712 | Consume TPS: 3496 | AVG(B2C) RT(ms):   3.670 | AVG(S2C) RT(ms):   2.583 | MAX(B2C) RT(ms): 1124 | MAX(S2C) RT(ms): 1123 | Consume Fail: 0
Current Time: 2026-08-24 04:50:20,712 | Consume TPS: 5429 | AVG(B2C) RT(ms):   2.683 | AVG(S2C) RT(ms):   1.983 | MAX(B2C) RT(ms): 1085 | MAX(S2C) RT(ms): 1084 | Consume Fail: 0
Current Time: 2026-08-24 04:50:30,712 | Consume TPS: 5782 | AVG(B2C) RT(ms):   2.317 | AVG(S2C) RT(ms):   1.656 | MAX(B2C) RT(ms): 885 | MAX(S2C) RT(ms): 885 | Consume Fail: 0
Current Time: 2026-08-24 04:50:40,712 | Consume TPS: 5950 | AVG(B2C) RT(ms):   2.235 | AVG(S2C) RT(ms):   1.586 | MAX(B2C) RT(ms): 744 | MAX(S2C) RT(ms): 743 | Consume Fail: 0
Current Time: 2026-08-24 04:50:50,712 | Consume TPS: 5848 | AVG(B2C) RT(ms):   2.287 | AVG(S2C) RT(ms):   1.622 | MAX(B2C) RT(ms): 118 | MAX(S2C) RT(ms): 118 | Consume Fail: 0
Current Time: 2026-08-24 04:51:00,712 | Consume TPS: 5855 | AVG(B2C) RT(ms):   2.551 | AVG(S2C) RT(ms):   1.898 | MAX(B2C) RT(ms): 52 | MAX(S2C) RT(ms): 51 | Consume Fail: 0
Current Time: 2026-08-24 04:51:10,712 | Consume TPS: 6089 | AVG(B2C) RT(ms):   2.181 | AVG(S2C) RT(ms):   1.553 | MAX(B2C) RT(ms): 22 | MAX(S2C) RT(ms): 21 | Consume Fail: 0
Current Time: 2026-08-24 04:51:20,712 | Consume TPS: 6057 | AVG(B2C) RT(ms):   2.205 | AVG(S2C) RT(ms):   1.573 | MAX(B2C) RT(ms): 149 | MAX(S2C) RT(ms): 148 | Consume Fail: 0
Current Time: 2026-08-24 04:51:30,712 | Consume TPS: 6089 | AVG(B2C) RT(ms):   2.211 | AVG(S2C) RT(ms):   1.578 | MAX(B2C) RT(ms): 136 | MAX(S2C) RT(ms): 135 | Consume Fail: 0
Current Time: 2026-08-24 04:51:40,712 | Consume TPS: 5937 | AVG(B2C) RT(ms):   2.631 | AVG(S2C) RT(ms):   1.986 | MAX(B2C) RT(ms): 780 | MAX(S2C) RT(ms): 779 | Consume Fail: 0
Current Time: 2026-08-24 04:51:50,712 | Consume TPS: 6047 | AVG(B2C) RT(ms):   3.240 | AVG(S2C) RT(ms):   2.604 | MAX(B2C) RT(ms): 129 | MAX(S2C) RT(ms): 129 | Consume Fail: 0
Current Time: 2026-08-24 04:52:00,712 | Consume TPS: 5911 | AVG(B2C) RT(ms):   2.348 | AVG(S2C) RT(ms):   1.696 | MAX(B2C) RT(ms): 181 | MAX(S2C) RT(ms): 181 | Consume Fail: 0
Current Time: 2026-08-24 04:52:10,712 | Consume TPS: 6024 | AVG(B2C) RT(ms):   2.508 | AVG(S2C) RT(ms):   1.862 | MAX(B2C) RT(ms): 203 | MAX(S2C) RT(ms): 203 | Consume Fail: 0
Current Time: 2026-08-24 04:52:20,712 | Consume TPS: 6045 | AVG(B2C) RT(ms):   2.571 | AVG(S2C) RT(ms):   1.931 | MAX(B2C) RT(ms): 205 | MAX(S2C) RT(ms): 205 | Consume Fail: 0
