topic: BenchmarkTest, threadCount: 8, messageSize: 1024, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-24 04:49:51,616 | Send TPS: 1121 | Max RT(ms): 710 | Average RT(ms):   7.257 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:50:01,618 | Send TPS: 1802 | Max RT(ms): 710 | Average RT(ms):   4.452 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:50:11,616 | Send TPS: 3672 | Max RT(ms): 710 | Average RT(ms):   2.174 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:50:21,616 | Send TPS: 5578 | Max RT(ms): 710 | Average RT(ms):   1.431 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:50:31,616 | Send TPS: 5846 | Max RT(ms): 710 | Average RT(ms):   1.366 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:50:41,616 | Send TPS: 6006 | Max RT(ms): 710 | Average RT(ms):   1.330 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:50:51,616 | Send TPS: 5952 | Max RT(ms): 710 | Average RT(ms):   1.343 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:51:01,616 | Send TPS: 5886 | Max RT(ms): 710 | Average RT(ms):   1.358 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:51:11,616 | Send TPS: 6115 | Max RT(ms): 710 | Average RT(ms):   1.307 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:51:21,616 | Send TPS: 6064 | Max RT(ms): 710 | Average RT(ms):   1.318 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:51:31,616 | Send TPS: 6127 | Max RT(ms): 710 | Average RT(ms):   1.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:51:41,616 | Send TPS: 5952 | Max RT(ms): 710 | Average RT(ms):   1.343 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:51:51,616 | Send TPS: 6038 | Max RT(ms): 710 | Average RT(ms):   1.323 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:52:01,615 | Send TPS: 5981 | Max RT(ms): 710 | Average RT(ms):   1.336 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:52:11,616 | Send TPS: 6034 | Max RT(ms): 710 | Average RT(ms):   1.324 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:52:21,616 | Send TPS: 6011 | Max RT(ms): 710 | Average RT(ms):   1.330 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:52:31,616 | Send TPS: 6219 | Max RT(ms): 710 | Average RT(ms):   1.285 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:52:41,615 | Send TPS: 6150 | Max RT(ms): 710 | Average RT(ms):   1.300 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:52:51,615 | Send TPS: 6145 | Max RT(ms): 710 | Average RT(ms):   1.301 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:53:01,616 | Send TPS: 6144 | Max RT(ms): 710 | Average RT(ms):   1.301 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:53:11,616 | Send TPS: 6133 | Max RT(ms): 710 | Average RT(ms):   1.303 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:53:21,616 | Send TPS: 6117 | Max RT(ms): 710 | Average RT(ms):   1.307 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:53:31,616 | Send TPS: 6086 | Max RT(ms): 710 | Average RT(ms):   1.314 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:53:41,616 | Send TPS: 6131 | Max RT(ms): 710 | Average RT(ms):   1.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:53:51,616 | Send TPS: 6041 | Max RT(ms): 710 | Average RT(ms):   1.323 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:54:01,615 | Send TPS: 6036 | Max RT(ms): 710 | Average RT(ms):   1.324 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:54:11,616 | Send TPS: 6120 | Max RT(ms): 710 | Average RT(ms):   1.306 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:54:21,616 | Send TPS: 6090 | Max RT(ms): 710 | Average RT(ms):   1.312 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:54:31,616 | Send TPS: 6037 | Max RT(ms): 710 | Average RT(ms):   1.323 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:54:41,616 | Send TPS: 6171 | Max RT(ms): 710 | Average RT(ms):   1.295 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:54:51,616 | Send TPS: 6149 | Max RT(ms): 710 | Average RT(ms):   1.300 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:55:01,615 | Send TPS: 5962 | Max RT(ms): 710 | Average RT(ms):   1.336 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:55:11,615 | Send TPS: 6107 | Max RT(ms): 710 | Average RT(ms):   1.308 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:55:21,615 | Send TPS: 6083 | Max RT(ms): 710 | Average RT(ms):   1.314 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:55:31,616 | Send TPS: 5965 | Max RT(ms): 710 | Average RT(ms):   1.340 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:55:41,616 | Send TPS: 6025 | Max RT(ms): 710 | Average RT(ms):   1.327 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:55:51,616 | Send TPS: 6129 | Max RT(ms): 710 | Average RT(ms):   1.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:56:01,615 | Send TPS: 6093 | Max RT(ms): 710 | Average RT(ms):   1.312 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:56:11,615 | Send TPS: 5955 | Max RT(ms): 710 | Average RT(ms):   1.342 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:56:21,615 | Send TPS: 6046 | Max RT(ms): 710 | Average RT(ms):   1.322 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:56:31,616 | Send TPS: 6013 | Max RT(ms): 710 | Average RT(ms):   1.329 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:56:41,616 | Send TPS: 6122 | Max RT(ms): 710 | Average RT(ms):   1.306 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:56:51,616 | Send TPS: 6136 | Max RT(ms): 710 | Average RT(ms):   1.303 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:57:01,615 | Send TPS: 6119 | Max RT(ms): 710 | Average RT(ms):   1.306 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:57:11,615 | Send TPS: 6136 | Max RT(ms): 710 | Average RT(ms):   1.302 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:57:21,616 | Send TPS: 6042 | Max RT(ms): 710 | Average RT(ms):   1.323 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:57:31,615 | Send TPS: 6082 | Max RT(ms): 710 | Average RT(ms):   1.314 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:57:41,616 | Send TPS: 5825 | Max RT(ms): 710 | Average RT(ms):   1.372 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:57:51,616 | Send TPS: 5989 | Max RT(ms): 710 | Average RT(ms):   1.334 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:58:01,615 | Send TPS: 6030 | Max RT(ms): 710 | Average RT(ms):   1.325 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:58:11,616 | Send TPS: 5957 | Max RT(ms): 710 | Average RT(ms):   1.342 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:58:21,616 | Send TPS: 6027 | Max RT(ms): 710 | Average RT(ms):   1.326 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:58:31,616 | Send TPS: 6094 | Max RT(ms): 710 | Average RT(ms):   1.311 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:58:41,616 | Send TPS: 6097 | Max RT(ms): 710 | Average RT(ms):   1.311 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:58:51,616 | Send TPS: 6117 | Max RT(ms): 710 | Average RT(ms):   1.307 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:59:01,616 | Send TPS: 6116 | Max RT(ms): 710 | Average RT(ms):   1.307 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:59:11,616 | Send TPS: 6020 | Max RT(ms): 710 | Average RT(ms):   1.328 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:59:21,616 | Send TPS: 6079 | Max RT(ms): 710 | Average RT(ms):   1.315 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:59:31,616 | Send TPS: 6099 | Max RT(ms): 710 | Average RT(ms):   1.310 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:59:41,615 | Send TPS: 6101 | Max RT(ms): 710 | Average RT(ms):   1.310 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 04:59:51,616 | Send TPS: 6141 | Max RT(ms): 710 | Average RT(ms):   1.301 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:00:01,616 | Send TPS: 6088 | Max RT(ms): 710 | Average RT(ms):   1.313 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:00:11,616 | Send TPS: 6070 | Max RT(ms): 710 | Average RT(ms):   1.316 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:00:21,616 | Send TPS: 5993 | Max RT(ms): 710 | Average RT(ms):   1.333 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:00:31,615 | Send TPS: 6120 | Max RT(ms): 710 | Average RT(ms):   1.306 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:00:41,616 | Send TPS: 6137 | Max RT(ms): 710 | Average RT(ms):   1.302 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:00:51,616 | Send TPS: 6109 | Max RT(ms): 710 | Average RT(ms):   1.308 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:01:01,615 | Send TPS: 6135 | Max RT(ms): 710 | Average RT(ms):   1.303 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:01:11,616 | Send TPS: 6117 | Max RT(ms): 710 | Average RT(ms):   1.306 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:01:21,616 | Send TPS: 6098 | Max RT(ms): 710 | Average RT(ms):   1.311 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:01:31,616 | Send TPS: 6131 | Max RT(ms): 710 | Average RT(ms):   1.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:01:41,615 | Send TPS: 6131 | Max RT(ms): 710 | Average RT(ms):   1.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:01:51,615 | Send TPS: 6109 | Max RT(ms): 710 | Average RT(ms):   1.308 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:02:01,616 | Send TPS: 5959 | Max RT(ms): 710 | Average RT(ms):   1.341 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:02:11,616 | Send TPS: 6052 | Max RT(ms): 710 | Average RT(ms):   1.320 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:02:21,616 | Send TPS: 6032 | Max RT(ms): 710 | Average RT(ms):   1.325 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:02:31,615 | Send TPS: 6128 | Max RT(ms): 710 | Average RT(ms):   1.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:02:41,616 | Send TPS: 6121 | Max RT(ms): 710 | Average RT(ms):   1.305 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:02:51,615 | Send TPS: 6105 | Max RT(ms): 710 | Average RT(ms):   1.309 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:03:01,616 | Send TPS: 6145 | Max RT(ms): 710 | Average RT(ms):   1.300 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:03:11,616 | Send TPS: 6027 | Max RT(ms): 710 | Average RT(ms):   1.326 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:03:21,616 | Send TPS: 6089 | Max RT(ms): 710 | Average RT(ms):   1.313 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:03:31,616 | Send TPS: 6103 | Max RT(ms): 710 | Average RT(ms):   1.309 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:03:41,615 | Send TPS: 6150 | Max RT(ms): 710 | Average RT(ms):   1.299 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:03:51,616 | Send TPS: 6042 | Max RT(ms): 710 | Average RT(ms):   1.322 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:04:01,615 | Send TPS: 6120 | Max RT(ms): 710 | Average RT(ms):   1.306 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:04:11,616 | Send TPS: 6128 | Max RT(ms): 710 | Average RT(ms):   1.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:04:21,616 | Send TPS: 5961 | Max RT(ms): 710 | Average RT(ms):   1.341 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:04:31,616 | Send TPS: 6105 | Max RT(ms): 710 | Average RT(ms):   1.309 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:04:41,616 | Send TPS: 6125 | Max RT(ms): 710 | Average RT(ms):   1.305 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:04:51,616 | Send TPS: 6135 | Max RT(ms): 710 | Average RT(ms):   1.303 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:05:01,615 | Send TPS: 6101 | Max RT(ms): 710 | Average RT(ms):   1.310 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:05:11,615 | Send TPS: 6138 | Max RT(ms): 710 | Average RT(ms):   1.302 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:05:21,616 | Send TPS: 6110 | Max RT(ms): 710 | Average RT(ms):   1.308 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:05:31,616 | Send TPS: 6123 | Max RT(ms): 710 | Average RT(ms):   1.305 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:05:41,616 | Send TPS: 6178 | Max RT(ms): 710 | Average RT(ms):   1.293 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:05:51,616 | Send TPS: 6101 | Max RT(ms): 710 | Average RT(ms):   1.310 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:06:01,616 | Send TPS: 6019 | Max RT(ms): 710 | Average RT(ms):   1.328 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:06:11,615 | Send TPS: 6151 | Max RT(ms): 710 | Average RT(ms):   1.299 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:06:21,616 | Send TPS: 6026 | Max RT(ms): 710 | Average RT(ms):   1.326 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:06:31,616 | Send TPS: 6162 | Max RT(ms): 710 | Average RT(ms):   1.297 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:06:41,615 | Send TPS: 6108 | Max RT(ms): 710 | Average RT(ms):   1.308 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:06:51,616 | Send TPS: 6095 | Max RT(ms): 710 | Average RT(ms):   1.311 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:07:01,616 | Send TPS: 6073 | Max RT(ms): 710 | Average RT(ms):   1.316 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:07:11,616 | Send TPS: 6006 | Max RT(ms): 710 | Average RT(ms):   1.331 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:07:21,616 | Send TPS: 6033 | Max RT(ms): 710 | Average RT(ms):   1.325 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:07:31,616 | Send TPS: 6071 | Max RT(ms): 710 | Average RT(ms):   1.316 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:07:41,616 | Send TPS: 6125 | Max RT(ms): 710 | Average RT(ms):   1.305 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:07:51,616 | Send TPS: 6111 | Max RT(ms): 710 | Average RT(ms):   1.308 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:08:01,616 | Send TPS: 6147 | Max RT(ms): 710 | Average RT(ms):   1.300 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:08:11,616 | Send TPS: 6119 | Max RT(ms): 710 | Average RT(ms):   1.306 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:08:21,616 | Send TPS: 5908 | Max RT(ms): 710 | Average RT(ms):   1.353 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:08:31,616 | Send TPS: 6128 | Max RT(ms): 710 | Average RT(ms):   1.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:08:41,615 | Send TPS: 6148 | Max RT(ms): 710 | Average RT(ms):   1.300 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:08:51,616 | Send TPS: 6111 | Max RT(ms): 710 | Average RT(ms):   1.308 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:09:01,616 | Send TPS: 6052 | Max RT(ms): 710 | Average RT(ms):   1.320 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:09:11,615 | Send TPS: 6112 | Max RT(ms): 710 | Average RT(ms):   1.308 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:09:21,615 | Send TPS: 6098 | Max RT(ms): 710 | Average RT(ms):   1.311 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:09:31,615 | Send TPS: 6078 | Max RT(ms): 710 | Average RT(ms):   1.315 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:09:41,616 | Send TPS: 6187 | Max RT(ms): 710 | Average RT(ms):   1.292 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:09:51,615 | Send TPS: 6097 | Max RT(ms): 710 | Average RT(ms):   1.311 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:10:01,616 | Send TPS: 5998 | Max RT(ms): 710 | Average RT(ms):   1.333 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:10:11,616 | Send TPS: 6124 | Max RT(ms): 710 | Average RT(ms):   1.305 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:10:21,615 | Send TPS: 6075 | Max RT(ms): 710 | Average RT(ms):   1.316 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:10:31,616 | Send TPS: 6109 | Max RT(ms): 710 | Average RT(ms):   1.308 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:10:41,616 | Send TPS: 6143 | Max RT(ms): 710 | Average RT(ms):   1.301 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:10:51,615 | Send TPS: 6097 | Max RT(ms): 710 | Average RT(ms):   1.311 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:11:01,616 | Send TPS: 6067 | Max RT(ms): 710 | Average RT(ms):   1.317 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:11:11,615 | Send TPS: 5997 | Max RT(ms): 710 | Average RT(ms):   1.332 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:11:21,616 | Send TPS: 6105 | Max RT(ms): 710 | Average RT(ms):   1.309 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:11:31,616 | Send TPS: 6052 | Max RT(ms): 710 | Average RT(ms):   1.321 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:11:41,615 | Send TPS: 6082 | Max RT(ms): 710 | Average RT(ms):   1.314 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:11:51,616 | Send TPS: 6114 | Max RT(ms): 710 | Average RT(ms):   1.307 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:12:01,616 | Send TPS: 6073 | Max RT(ms): 710 | Average RT(ms):   1.316 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:12:11,615 | Send TPS: 6127 | Max RT(ms): 710 | Average RT(ms):   1.305 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:12:21,616 | Send TPS: 5972 | Max RT(ms): 710 | Average RT(ms):   1.338 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:12:31,615 | Send TPS: 6046 | Max RT(ms): 710 | Average RT(ms):   1.322 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:12:41,616 | Send TPS: 6133 | Max RT(ms): 710 | Average RT(ms):   1.303 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:12:51,616 | Send TPS: 6106 | Max RT(ms): 710 | Average RT(ms):   1.309 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:13:01,615 | Send TPS: 6103 | Max RT(ms): 710 | Average RT(ms):   1.309 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:13:11,616 | Send TPS: 6144 | Max RT(ms): 710 | Average RT(ms):   1.301 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:13:21,616 | Send TPS: 6110 | Max RT(ms): 710 | Average RT(ms):   1.308 | Send Failed: 0 | Response Failed: 0
